Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Tacoma	Bottineau	61	39.385	2.644	48.668771	-100.852516	3800977740	1759300
Taft	Burleigh	32	35.809	0.142	46.771542	-100.258025	3801577780	1037068
Talbot	Bowman	104	35.822	0.030	46.166803	-103.304095	3801177900	1037226
Tanner	Kidder	26	34.098	2.246	46.758863	-99.506850	3804377940	1037057
Tappen	Kidder	91	34.677	0.237	46.841224	-99.647480	3804378020	2397881
Tatman	Ward	2992	35.922	0.155	48.418099	-101.249373	3810178100	1759694
Taylor	Sargent	39	36.030	0.196	45.979191	-97.696346	3808178140	1036786
Taylor Butte	Adams	14	35.893	0.006	46.169023	-102.559886	3800178220	1037209
Teddy	Towner	36	35.847	0.241	48.747117	-99.077078	3809578260	1759667
Telfer	Burleigh	74	36.016	0.062	46.685192	-100.500785	3801578300	1759348
Tepee Butte	Hettinger	39	35.799	0.008	46.415037	-102.735539	3804178460	1037233
Tewaukon	Sargent	54	37.499	1.536	45.976518	-97.426205	3808178500	1036784
Thelma	Burleigh	17	34.163	1.942	46.746480	-100.111760	3801578580	1037070
Thingvalla	Pembina	101	36.032	0.009	48.677597	-97.848487	3806778620	1036722
Thordenskjold	Barnes	67	35.623	0.005	46.668028	-97.874181	3800378700	1036401
Thorson	Burke	26	35.552	0.355	48.691017	-102.790846	3801378780	1037112
Tiber	Walsh	72	35.805	0.093	48.503371	-97.981576	3809978820	1036549
Tiffany	Eddy	31	35.940	0.185	47.715191	-98.848133	3802778860	1759415
Tioga	Williams	104	34.437	0.151	48.423224	-102.961858	3810578980	1037030
Tolgen	Ward	29	33.679	2.213	48.149479	-101.724985	3810179100	1036984
Torgerson	Pierce	62	33.181	2.255	48.425558	-99.924452	3806979220	1759561
Torning	Ward	64	34.401	1.783	48.071326	-101.482912	3810179260	1036955
Tower	Cass	54	34.556	0.003	46.941938	-97.608616	3801779300	1036378
Trenton	Williams	541	30.527	1.956	48.071095	-103.805216	3810579500	1036977
Tri	McKenzie	104	113.817	10.990	48.016174	-103.665710	3805379520	1954181
Trier	Cavalier	50	30.346	1.924	48.681579	-98.895032	3801979540	1759383
Triumph	Ramsey	38	36.106	0.493	48.332618	-98.497709	3807179580	1759597
Troy	Divide	45	34.379	1.584	48.858036	-103.388573	3802379660	1036927
Truax	Williams	190	49.301	7.797	48.122220	-103.283768	3810579740	1036979
Truman	Pierce	54	35.360	0.457	47.898085	-99.994799	3806979780	1759562
Trygg	Burleigh	40	36.028	0.000	47.025735	-100.431786	3801579820	1037132
Tuller	Ransom	107	36.008	0.010	46.507330	-97.710566	3807379860	1036872
Turtle Lake	McLean	43	33.978	1.982	47.548602	-100.985957	3805579980	2397883
Turtle River	Grand Forks	174	33.291	0.272	48.142938	-97.202245	3803580060	1036622
Tuscarora	Pierce	62	34.634	1.241	48.239469	-100.031162	3806980100	1759563
Tuttle	Kidder	39	34.480	1.013	47.105200	-100.051684	3804380180	1037159
Twelve Mile	Williams	74	62.235	7.737	48.121003	-103.422014	3810580220	1036998
Twin Butte	Divide	18	34.690	1.361	48.851599	-103.530568	3802380260	1759398
Twin Hill	Towner	39	34.908	0.901	48.681853	-99.032808	3809580340	1759668
Twin Lake	Benson	39	33.869	2.113	48.239127	-99.663851	3800580380	1759260
Twin Tree	Benson	143	36.341	0.213	47.897400	-98.979574	3800580420	1759261
Twin Valley	McKenzie	114	79.127	19.604	48.045233	-103.184756	3805380460	1036972
Tyrol	Griggs	116	36.673	0.191	47.530487	-98.186907	3803980580	1036650
