Date	State	George H.W. Bush	Bob Dole	Pat Robertson	Jack Kemp	Pete du Pont
January 14	Michigan	57%	3%	22%	17%	0%
February 4	Hawaii	9%	9%	82%	0%	0%
February 7	Kansas	0%	99%	0%	0%	0%
February 8	Iowa caucus	19%	37%	25%	11%	7%
February 16	New Hampshire	38%	29%	9%	13%	10%
February 18	Nevada	27%	22%	15%	13%	1%
February 23	Minnesota	11%	43%	28%	15%	0%
February 23	South Dakota	19%	55%	20%	5%	1%
February 24	Wyoming	23%	46%	11%	7%	2%
February 28	Maine	64%	8%	14%	2%	0%
March 1	Alaska	24%	20%	49%	7%	0%
March 1	Vermont	49%	39%	5%	4%	2%
March 5	South Carolina	49%	21%	19%	11%	0%
March 8	Alabama	65%	16%	14%	5%	0%
March 8	Arkansas	47%	26%	19%	5%	1%
March 8	Florida	62%	21%	11%	5%	1%
March 8	Georgia	54%	24%	16%	6%	0%
March 8	Kentucky	59%	23%	11%	3%	0%
March 8	Louisiana	58%	18%	18%	5%	1%
March 8	Maryland	53%	32%	6%	6%	1%
March 8	Massachusetts	59%	26%	5%	7%	1%
March 8	Mississippi	66%	17%	13%	3%	0%
March 8	Missouri	42%	41%	11%	4%	0%
March 8	North Carolina	45%	39%	10%	4%	0%
March 8	Oklahoma	37%	36%	21%	5%	0%
March 8	Rhode Island	65%	23%	6%	5%	1%
March 8	Tennessee	60%	22%	13%	4%	0%
March 8	Texas	64%	14%	15%	5%	0%
March 8	Virginia	53%	26%	14%	5%	1%
March 8	Washington	24%	26%	39%	8%	0%
March 15	Illinois	55%	36%	7%	1%	1%
March 29	Connecticut	71%	20%	3%	3%	0%
April 4	Colorado	76%	0%	10%	0%	0%
April 5	Wisconsin	82%	8%	7%	1%	0%
April 26	Pennsylvania	79%	12%	9%	0%	0%
May 3	District of Columbia	88%	7%	4%	0%	0%
May 3	Indiana	80%	10%	7%	3%	0%
May 3	Ohio	81%	12%	7%	0%	0%
May 10	Nebraska	68%	22%	5%	4%	0%
May 10	West Virginia	77%	11%	7%	3%	0%
May 17	Oregon	73%	18%	8%	0%	0%
May 24	Idaho	81%	0%	9%	0%	0%
June 7	California	83%	13%	4%	0%	0%
June 7	Montana	73%	19%	0%	0%	0%
June 7	New Jersey	100%	0%	0%	0%	0%
June 7	New Mexico	78%	10%	6%	0%	0%
June 14	North Dakota	93%	0%	0%	0%	0%
