Week of	Tournament	Winner	Runner-up	Semi-finalists
6 July	Gstaad , Switzerland $300,000	Sergi Bruguera 6–1 6–4	Francisco Clavet	Fabrice Santoro Gabriel Markus
6 July	Gstaad , Switzerland $300,000	Davids / Pimek W/O	Korda / Suk	Fabrice Santoro Gabriel Markus
6 July	Newport , RI , USA $175,000	Bryan Shelton 6–4 6–4	Alex Antonitsch	Neil Borwick Javier Frana
6 July	Newport , RI , USA $175,000	Deppe / Rikl 6–4 6–4	Annacone / Wheaton	Neil Borwick Javier Frana
6 July	Båstad , Sweden $235,000	Magnus Gustafsson 5–7 7–5 6–4	Tomás Carbonell	Guillermo Pérez-Roldán Jordi Arrese
6 July	Båstad , Sweden $235,000	Carbonell / Miniussi 6–4 7–5	Bergström / Gustafsson	Guillermo Pérez-Roldán Jordi Arrese
13 July	Stuttgart , Germany $865,000	Andrei Medvedev 6–1 6–4 6–7(5) 2–6 6–1	Wayne Ferreira	Thomas Muster Karel Nováček
13 July	Stuttgart , Germany $865,000	Layendecker / Talbot 6–3 7–6	Rosset / Sánchez	Thomas Muster Karel Nováček
13 July	Washington, D.C., USA $490,000	Petr Korda 6–4 6–4	Henrik Holm	MaliVai Washington Derrick Rostagno
13 July	Washington, D.C., USA $490,000	Garnett / Palmer 7–6 6–3	Flach / Witsken	MaliVai Washington Derrick Rostagno
20 July	Canadian Open Toronto , Canada $1,025,000	Andre Agassi 3–6 6–2 6–0	Ivan Lendl	Wally Masur MaliVai Washington
20 July	Canadian Open Toronto , Canada $1,025,000	Galbraith / Visser 7–5 6–4	Agassi / McEnroe	Wally Masur MaliVai Washington
20 July	Hilversum , The Netherlands $225,000	Karel Nováček 6–2 6–3 2–6 7–5	Jordi Arrese	Fabrice Santoro Mikael Tillström
20 July	Hilversum , The Netherlands $225,000	Haarhuis / Koevermans 6–7 6–1 6–4	Renstrom / Tillström	Fabrice Santoro Mikael Tillström
20 July	Kitzbühel , Austria $355,000	Pete Sampras 6–3 7–5 6–3	Alberto Mancini	Thomas Muster Marcelo Filippini
20 July	Kitzbühel , Austria $355,000	Casal / Sánchez 6–7 7–5 6–3	de la Peña / Flegl	Thomas Muster Marcelo Filippini
27 July	Barcelona , Spain Summer Olympics	Marc Rosset 7–6 6–4 3–6 4–6 8–6	Jordi Arrese	Goran Ivanišević Andrei Cherkasov
27 July	Barcelona , Spain Summer Olympics	Becker / Stich 7–6 4–6 7–6 6–3	Ferreira / Norval	Goran Ivanišević Andrei Cherkasov
27 July	San Marino , San Marino $235,000	Karel Nováček 7–5 6–2	Francisco Clavet	Lars Jonsson Ronald Agénor
27 July	San Marino , San Marino $235,000	Kulti / Tillström 6–2 6–2	Brandi / Mordegan	Lars Jonsson Ronald Agénor
