Driver	Constructor	Laps	Time/Retired	Grid
Jim Clark	Lotus - BRM	108	2:09:40.11	2
Jochen Rindt	Cooper - Maserati	107	Out of Fuel	9
John Surtees	Cooper - Maserati	107	+ 1 lap	4
Jo Siffert	Cooper - Maserati	105	+ 3 laps	13
Bruce McLaren	McLaren - Ford	105	+ 3 laps	11
Peter Arundell	Lotus - Climax	101	+ 7 laps	19
Innes Ireland	BRM	96	Alternator	17
Richie Ginther	Honda	81	Not Classified	8
Mike Spence	Lotus - BRM	74	Ignition	12
Ronnie Bucknum	Honda	58	Engine	18
Jo Bonnier	Cooper - Maserati	57	Not Classified	15
Jack Brabham	Brabham - Repco	55	Engine	1
Jackie Stewart	BRM	53	Engine	6
Graham Hill	BRM	52	Differential	5
Lorenzo Bandini	Ferrari	34	Engine	3
Denny Hulme	Brabham - Repco	18	Engine	7
Pedro Rodríguez	Lotus - BRM	13	Retirement	10
Dan Gurney	Eagle - Weslake	13	Clutch	14
Bob Bondurant	Eagle - Climax	5	Disqualified	16
