Round	Location	Circuit	Date	Winning Driver	Winning Team
1	Sepang , Malaysia	Sepang International Circuit	May 16–18	Armaan Ebrahim	Black Tara
2	Sepang , Malaysia	Sepang International Circuit	May 16–18	Earl Bamber	TPC Team QI-Meritus
3	Sepang , Malaysia	Sepang International Circuit	June 20–22	James Grunwell	TPC Team QI-Meritus
4	Sepang , Malaysia	Sepang International Circuit	June 20–22	Armaan Ebrahim	Black Tara
5	Sentul , Indonesia	Sentul International Circuit	July 18–20	Earl Bamber	TPC Team QI-Meritus
6	Sentul , Indonesia	Sentul International Circuit	July 18–20	Earl Bamber	TPC Team QI-Meritus
7	Okayama , Japan	Okayama International Circuit	October 24–26	Earl Bamber	TPC Team QI-Meritus
8	Okayama , Japan	Okayama International Circuit	October 24–26	Earl Bamber	TPC Team QI-Meritus
9	Shanghai , China	Shanghai International Circuit	November 21–23	James Grunwell	TPC Team QI-Meritus
10	Shanghai , China	Shanghai International Circuit	November 21–23	James Grunwell	TPC Team QI-Meritus
11	Shanghai , China	Shanghai International Circuit	November 21–23	James Grunwell	TPC Team QI-Meritus
12	Shanghai , China	Shanghai International Circuit	November 21–23	Isaiah-Ro Charlez	Black Tara
