Date	Result	Score	Venue	Competition
2 January 2010	W	6–0	Kuala Lumpur , Malaysia	Friendly
6 January 2010	D	0–0	Hangzhou , China	2011 AFC Asian Cup qualification
23 January 2010	D	1–1	Damascus , Syria	Friendly
19 February 2010	D	1–1	Al Ain , United Arab Emirates	Friendly
3 March 2010	W	4–0	Damascus , Syria	2011 AFC Asian Cup qualification
3 September 2010	L	0–3	Kuwait City , Kuwait	Friendly
7 September 2010	L	1–2	Sana'a , Yemen	Friendly
24 September 2010	D	1–1	Amman , Jordan	2010 WAFF Championship
26 September 2010	L	1–2	Amman , Jordan	2010 WAFF Championship
8 October 2010	L	1–2	Kunming , China	Friendly
14 November 2010	W	2–0	Manama , Bahrain	Friendly
18 December 2010	W	1–0	Sulaymaniyah , Iraq	Friendly
22 December 2010	L	0–1	Damascus , Syria	Friendly
30 December 2010	L	0–1	Abu Dhabi , United Arab Emirates	Friendly
2 January 2011	L	0–2	Al Ain , United Arab Emirates	Friendly
9 January 2011	W	2–1	Al Rayyan , Qatar	2011 AFC Asian Cup
13 January 2011	L	1–2	Doha , Qatar	2011 AFC Asian Cup
17 January 2011	L	1–2	Doha , Qatar	2011 AFC Asian Cup
29 June 2011	W	2–1	Erbil , Iraq	Friendly
5 July 2011	W	3–1	Istanbul , Turkey	Friendly
15 July 2011	D	1–1	Seeb , Oman	Friendly
23 July 2011	W	2–1	Amman , Jordan	2014 FIFA World Cup qualification
28 July 2011	W	4–0	Tursunzoda , Tajikistan	2014 FIFA World Cup qualification
10 August 2011	D	1–1	Astana , Kazakhstan	Friendly
17 August 2011	W	3–2	Saida , Lebanon	Friendly
22 August 2012	L	1–2	New Delhi , India	2012 Nehru Cup
24 August 2012	D	2–2	New Delhi , India	2012 Nehru Cup
27 August 2012	L	1–2	New Delhi , India	2012 Nehru Cup
30 August 2012	W	2–0	New Delhi , India	2012 Nehru Cup
17 November 2012	D	1–1	Amman , Jordan	Friendly
20 November 2012	L	1–2	Zarqa , Jordan	Friendly
13 December 2012	D	1–1	Kuwait City , Kuwait	2012 WAFF Championship
16 December 2012	W	2–1	Kuwait City , Kuwait	2012 WAFF Championship
18 December 2012	D	1–1 (3–2p)	Kuwait City , Kuwait	2012 WAFF Championship
20 December 2012	W	1–0	Kuwait City , Kuwait	2012 WAFF Championship
6 February 2013	L	0–1	Muscat , Oman	2015 AFC Asian Cup qualification
26 March 2013	L	1–2	Baghdad , Iraq	Friendly
15 August 2013	D	1–1	Tehran , Iran	2015 AFC Asian Cup qualification
