Year	Iowa	Kansas	Minnesota	Missouri	Nebraska	North/South Dakota
2001	Davenport East LL Davenport	Baxter Springs LL Baxter Springs	Centennial Lakes Black LL Circle Pines	DeSoto LL DeSoto	Keystone LL Omaha	Harney LL Rapid City
2002	Grandview LL Des Moines	Riverton Area LL Riverton	Coon Rapids National LL Coon Rapids	Webb City LL Webb City	Central City LL Central City	Harney LL Rapid City
2003	North Scott LL Eldridge	Girard LL Girard	Coon Rapids National LL Coon Rapids	La Co Mo Central LL Higginsville	Grover LL Omaha	Canyon Lake LL Rapid City
2004	Davenport Northwest LL Davenport	Galena LL Galena	Robbinsdale LL Robbinsdale	Daniel Boone National LL Columbia	Blair LL Blair	Harney LL Rapid City
2005	Davenport Northwestern LL Davenport	Baxter Springs LL Baxter Springs	Centennial Lakes East LL Circle Pines	Daniel Boone National LL Columbia	Hillside LL Omaha	Harney LL Rapid City
2007	Urbandale East LL Urbandale	Cherokee Community LL Cherokee	WAA LL Woodbury	Carthage LL Carthage	Keystone LL Omaha	Harney LL Rapid City
2008	Urbandale East LL Urbandale	Cherokee Community LL Cherokee	Coon Rapids National LL Coon Rapids	Daniel Boone National LL Columbia	Kearney National LL Kearney	Canyon Lake LL Rapid City
2009	Urbandale East LL Urbandale	Cherokee Community LL Cherokee	East Tonka South LL Minnetonka	Daniel Boone National LL Columbia	Blair LL Blair	Harney LL Rapid City
2010	Grandview LL Des Moines	Riverton Area LL Riverton	Plymouth/New Hope LL Plymouth	Daniel Boone American LL Columbia	Kearney LL Kearney	Canyon Lake LL Rapid City
2011	Grandview LL Des Moines	Community LL Cherokee	Centennial Lakes West LL Circle Pines	Webb City LL Webb City	Kearney LL Kearney	Harney LL Rapid City
2012	Sioux City Westside LL Sioux City	Girard LL Girard	Robbinsdale LL Robbinsdale	De Soto LL De Soto	Kearney LL Kearney	Canyon Lake LL Rapid City
