Date	Tournament	Winning score	Margin of victory	Runner(s) up
Jul 13, 1997	Quad City Classic	–15 (67-66-67-65=265)	3 strokes	Brandel Chamblee
Aug 22, 1999	Sprint International	47 pts. (16-13-10-8=47)	3 points	David Duval
Oct 3, 1999	Buick Challenge	–17 (68-66-66-71=271)	3 strokes	Stuart Appleby
Oct 8, 2000	Michelob Championship at Kingsmill	–13 (68-70-67-66=271)	Playoff	Mike Weir
May 6, 2001	Compaq Classic of New Orleans	–22 (66-63-64=266)	2 strokes	Phil Mickelson
Aug 19, 2001	PGA Championship	–15 (66-65-65-69=265)	1 stroke	Phil Mickelson
Oct 7, 2001	Michelob Championship at Kingsmill	–15 (64-70-67-68=269)	1 stroke	Kirk Triplett
May 11, 2003	Wachovia Championship	–10 (70-69-66-73=278)	2 strokes	Robert Gamez
July 29, 2003	FedEx St. Jude Classic	–20 (68-67-65-64=264)	3 strokes	Nick Price
May 30, 2004	FedEx St. Jude Classic	–16 (67-63-65-73=268)	6 strokes	Bob Estes
Feb 27, 2005	WGC-Accenture Match Play Championship	6 & 5	6 & 5	Chris DiMarco
Jan 15, 2006	Sony Open in Hawaii	–19 (66-69-61-69=261)	5 strokes	Chad Campbell , Rory Sabbatini
May 22, 2011	Crowne Plaza Invitational at Colonial	–15 (62-62-74-67=265)	1 stroke	Charlie Wi
