Year	Team	Chassis	Engine	Rank	Points
1982	Wysard Racing	March 82C	Ford Cosworth DFX	NC	0
1983	Wysard Racing	March 82C	Ford Cosworth DFX	27th	4
1983	Wysard Racing	March 83C	Ford Cosworth DFX	27th	4
1983	Provimi Racing	March 82/83C	Ford Cosworth DFX	27th	4
1984	Provimi Racing	March 84C	Ford Cosworth DFX	19th	26
1985	Tom Hess Racing	Lola T900	Ford Cosworth DFX	40th	1
1986	Team Menard	March 86C	Ford Cosworth DFX	23rd	11
1986	Curb Motorsports	March 86C	Ford Cosworth DFX	23rd	11
1987	Pace Racing	March 87C	Buick V6 (t/c)	15th	27
1987	Raynor Motorsports	Lola T87/00	Ford Cosworth DFX	15th	27
1988	Raynor Motorsports	Lola T88/00	Ford Cosworth DFX	9th	53
1989	Raynor Motorsports	Lola T89/00	Judd AV	12th	25
