Club	City	Founded	Stadium	Capacity
Étoile Sportive du Sahel	Sousse	1925	Stade Olympique de Sousse	25,000
Club Africain	Tunis	1920	Stade Olympique d'El Menzah-Tunis	45,000
Espérance Sportive de Tunis	Tunis	1919	Stade Olympique d'El Menzah-Tunis	45,000
Stade Tunisien	Tunis	1948	Stade Chadly Zouiten	18,000
Avenir Sportif de La Marsa	La Marsa	1939	Stade Abdelaziz Chtioui	6,000
Union Sportive Monastir	Monastir	1923	Stade Mustapha Ben Jannet	25,000
Club Sportif Sfaxien	Sfax	1928	Stade Taïeb Mhiri	18,000
El-Gawafel Sportives de Gafsa	Gafsa	1967	Stade du 7 Novembre	12,000
Olympique de Béja	Béja	1929	Stade Olympique	8,000
Club Sportif de Hammam-Lif	Hammam-Lif	1944	Stade Bou Kornine	8,000
Espérance Sportive de Zarzis	Zarzis	1934	Stade Jlidi	7,000
Bizerte Athletic F.C.	Bizerte	1928	Stade du 15 Octobre	16,000
Jendouba Sport	Jendouba	1922	Stade Municipal de Jendouba	4,000
Stade Gabésien	Gabès	1957	Stade du Zrig	15,000
