Date	Visitor	Score	Home	Record	Points
January 2	Pittsburgh	4–5	St. Louis	15–17–6	36
January 3	Pittsburgh	5–3	Chicago	16–17–6	38
January 6	Vancouver	2–4	Pittsburgh	17–17–6	40
January 7	Pittsburgh	0–3	NY Rangers	17–18–6	40
January 10	Detroit	2–1	Pittsburgh	17–19–6	40
January 13	Los Angeles	1–3	Pittsburgh	18–19–6	42
January 14	Pittsburgh	2–3	Detroit	18–20–6	42
January 17	Pittsburgh	4–6	Montreal	18–21–6	42
January 18	Montreal	5–2	Pittsburgh	18–22–6	42
January 20	Boston	0–3	Pittsburgh	19–22–6	44
January 21	Pittsburgh	3–9	Chicago	19–23–6	44
January 24	Toronto	2–5	Pittsburgh	20–23–6	46
January 25	Pittsburgh	3–6	Philadelphia	20–24–6	46
January 27	Philadelphia	5–3	Pittsburgh	20–25–6	46
January 31	Los Angeles	1–4	Pittsburgh	21–25–6	48
