Year	Play	Author	Theatre	Type	Role
1944	The Wedding	Stanisław Wyspiański	Polish Army Theatre, Lublin	Actor	Isia
1948	Omyłka	Bolesław Prus	Powszechny Theatre , Łódź	Director	—
1953	Barbarians	Maxim Gorky	Teatr Wybrzeże , Gdańsk	Director	—
1958	The Visit	Friedrich Dürrenmatt	Juliusz Słowacki Theatre , Kraków	Director and Actor	Claire Zachanassian
1960	Na dne	Maxim Gorky	Old Theatre , Kraków	Director	—
1962	Mother Courage and Her Children	Bertolt Brecht	Old Theatre , Kraków	Director and Actor	Mother Courage
1963	Caligula	Albert Camus	Old Theatre , Kraków	Director and Actor	Caesonia
1966	Macbeth	William Shakespeare	Juliusz Słowacki Theatre , Kraków	Director and Actor	Lady Macbeth
1969	The Wedding	Stanisław Wyspiański	Juliusz Słowacki Theatre , Kraków	Director	—
1972	For Whom the Bell Tolls	Ernest Hemingway	Teatr Studio , Warsaw	Director	—
