Year	W: L: D	Position	Chairman	CEO	Coach	Captain	Vice-Captain	Best and Fairest	Leading Goalkicker
2000	15:10:0	4th	R. P. Casey /A. Carter	G. Miller	D. Pagan	W. Carey	A. Stevens	P. Bell	W. Carey 69
2001	9:13:0	13th	A. Carter/A. Aylett	G. Miller/M. Easy	D. Pagan	W. Carey	A. Stevens	S. Grant	S. Rocca 48
2002	12:11:0	7th	A. Aylett	M. Easy/G. Walsh	D. Pagan	A. Stevens	G. Archer	A. Simpson	S. Rocca 50
2003	11:10:1	10th	A. Aylett	G. Walsh	D. Laidley	A. Stevens	G. Archer	B. Harvey	L. Harding 33
2004	10:12:0	10th	A. Aylett	G. Walsh	D. Laidley	A. Simpson	B. Harvey	B. Rawlings	S. Rocca 49
2005	13:10:0	7th	A. Aylett/G. Duff	G. Walsh	D. Laidley	A. Simpson	B. Harvey	B. Harvey	N. Thompson 52
2006	7:15:0	14th	G. Duff	G. Walsh/R. Aylett	D. Laidley	A. Simpson	B. Harvey	B. Rawlings	N. Thompson 54
2007	15:10:0	3rd	G. Duff/J. Magowan/J. Brayshaw	R. Aylett	D. Laidley	A. Simpson	B. Harvey	B. Harvey	C. Jones 43
2008	12:10:1	7th	J. Brayshaw	E. Arocca	D. Laidley	A. Simpson	B. Harvey	B. Harvey	D. Hale 37
2009	7:14:1	13th	J. Brayshaw	E. Arocca	D. Laidley/ D. Crocker	B. Harvey	D. Petrie	A. Swallow	D. Petrie 27
2010	11:11:0	9th	J. Brayshaw	E. Arocca	B. Scott	B. Harvey	D. Petrie	B. Harvey, B. Rawlings	L. Thomas 29
2011	10:12:0	9th	J. Brayshaw	E. Arocca	B. Scott	B. Harvey	D. Petrie	A. Swallow, D. Wells	D. Petrie 48
2012	14:8:0	8th	J. Brayshaw	E.Arocca/C.Vale	B. Scott	A. Swallow	D. Petrie, J. Ziebell	A.Swallow	D. Petrie 57
