Game	Date	Opponent	Result	Nets points	Opponents	Record	Streak
1	November 2	@ Indiana	Loss	81	100	0-1	Lost 1
2	November 3	@ Philadelphia	Loss	110	112	0-2	Lost 2
3	November 6	@ Charlotte	Loss	105	113	0-3	Lost 3
4	November 8	Miami	Win	114	103	1-3	Won 1
5	November 10	Boston	Loss	91	105	1-4	Lost 1
6	November 12	Washington	Loss	92	97	1-5	Lost 2
7	November 14	Milwaukee	Win	112	95	2-5	Won 1
8	November 16	Detroit	Loss	96	105	2-6	Lost 1
9	November 17	@ Milwaukee	Loss	99	111	2-7	Lost 2
10	November 20	@ Seattle	Loss	88	105	2-8	Lost 3
11	November 21	@ LA Clippers	Loss	90	99	2-9	Lost 4
12	November 23	@ Phoenix	Win	116	114	3-9	Won 1
13	November 24	@ Golden State	Win	117	113	4-9	Won 2
14	November 27	Philadelphia	Win	98	92	5-9	Won 3
15	November 28	@ Miami	Loss	79	97	5-10	Lost 1
16	December 1	Orlando	Win	111	92	6-10	Won 1
17	December 4	Seattle	Win	106	102	7-10	Won 2
18	December 7	Phoenix	Loss	110	129	7-11	Lost 1
19	December 10	Charlotte	Win	121	115	8-11	Won 1
20	December 13	@ Atlanta	Loss	97	106	8-12	Lost 1
21	December 15	New York	Loss	104	125	8-13	Lost 2
22	December 17	Utah	Loss	98	100	8-14	Lost 3
23	December 19	LA Clippers	Win	118	105	9-14	Won 1
24	December 21	Cleveland	Win	111	103	10-14	Won 2
25	December 22	@ New York	Loss	93	106	10-15	Lost 1
26	December 26	Atlanta	Loss	111	113	10-16	Lost 2
27	December 28	Houston	Loss	99	101	10-17	Lost 3
28	December 29	@ Indiana	Loss	105	114	10-18	Lost 4
29	January 4	San Antonio	Loss	89	93	10-19	Lost 5
30	January 5	@ Detroit	Loss	83	99	10-20	Lost 6
31	January 7	Dallas	Loss	87	88	10-21	Lost 7
32	January 8	@ Chicago	Loss	102	111	10-22	Lost 8
33	January 12	@ Philadelphia	Loss	99	109	10-23	Lost 9
34	January 13	Portland	Loss	103	116	10-24	Lost 10
35	January 15	Golden State	Loss	111	112	10-25	Lost 11
36	January 18	@ Boston	Win	111	106	11-25	Won 1
37	January 19	@ Atlanta	Loss	84	114	11-26	Lost 1
38	January 22	@ Charlotte	Win	92	90	12-26	Won 1
39	January 23	Chicago	Win	99	95	13-26	Won 2
40	January 25	LA Lakers	Loss	103	108	13-27	Lost 1
41	January 26	@ Miami	Win	127	105	14-27	Won 1
42	January 28	@ Sacramento	Loss	83	101	14-28	Lost 1
43	January 29	@ LA Lakers	Loss	89	110	14-29	Lost 2
44	January 31	@ Denver	Loss	119	123	14-30	Lost 3
45	February 2	@ Utah	Loss	103	111	14-31	Lost 4
46	February 4	@ Portland	Loss	102	117	14-32	Lost 5
47	February 6	Miami	Loss	119	134	14-33	Lost 6
48	February 7	@ Washington	Loss	117	124	14-34	Lost 7
49	February 13	Atlanta	Win	140	106	15-34	Won 1
50	February 15	Denver	Win	138	110	16-34	Won 2
51	February 16	@ Chicago	Loss	87	99	16-35	Lost 1
52	February 19	Sacramento	Win	97	83	17-35	Won 1
53	February 22	@ Boston	Loss	99	111	17-36	Lost 1
54	February 23	Philadelphia	Loss	90	103	17-37	Lost 2
55	February 26	Indiana	Win	129	104	18-37	Won 1
56	February 28	Milwaukee	Win	98	93	19-37	Won 2
57	March 2	New York	Loss	105	115	19-38	Lost 1
58	March 4	@ Dallas	Loss	100	102	19-39	Lost 2
59	March 5	@ Houston	Loss	100	112	19-40	Lost 3
60	March 7	@ San Antonio	Loss	99	111	19-41	Lost 4
61	March 10	@ Miami	Loss	88	101	19-42	Lost 5
62	March 11	@ New York	Loss	85	90	19-43	Lost 6
63	March 14	Detroit	Win	118	110	20-43	Won 1
64	March 16	Washington	Win	110	86	21-43	Won 2
65	March 17	Charlotte	Loss	108	121	21-44	Lost 1
66	March 20	Minnesota	Win	118	111	22-44	Won 1
67	March 22	@ Detroit	Loss	93	109	22-45	Lost 1
68	March 23	@ Cleveland	Loss	82	108	22-46	Lost 2
69	March 25	@ Washington	Loss	106	113	22-47	Lost 3
70	March 26	Philadelphia	Win	98	95	23-47	Won 1
71	March 28	Chicago	Loss	94	128	23-48	Lost 1
72	March 30	New York	Loss	117	130	23-49	Lost 2
73	April 2	Boston	Loss	77	94	23-50	Lost 3
74	April 4	@ Boston	Loss	104	123	23-51	Lost 4
75	April 6	@ Milwaukee	Loss	114	133	23-52	Lost 5
76	April 9	@ Minnesota	Loss	89	109	23-53	Lost 6
77	April 12	Cleveland	Win	104	103	24-53	Won 1
78	April 13	@ Cleveland	Loss	98	102	24-54	Lost 1
79	April 16	Indiana	Loss	126	132	24-55	Lost 2
80	April 18	@ Washington	Win	108	103	25-55	Won 1
81	April 20	Miami	Win	118	103	26-55	Won 2
82	April 21	@ Orlando	Loss	110	120	26-56	Lost 1
