Week	Date	Opponent	Result	Attendance
1	September 17, 1961	at Philadelphia Eagles	L 27–20	60,671
2	September 24, 1961	St. Louis Cardinals	W 20–17	50,443
3	October 1, 1961	Dallas Cowboys	W 25–7	43,638
4	October 8, 1961	Washington Redskins	W 31–7	46,186
5	October 15, 1961	Green Bay Packers	L 49–17	75,042
6	October 22, 1961	at Pittsburgh Steelers	W 30–28	29,266
7	October 29, 1961	St. Louis Cardinals	W 21–10	26,696
8	November 5, 1961	Pittsburgh Steelers	L 17–13	62,723
9	November 12, 1961	at Washington Redskins	W 17–6	28,975
10	November 19, 1961	Philadelphia Eagles	W 45–24	68,399
11	November 26, 1961	New York Giants	L 37–21	80,455
12	December 3, 1961	at Dallas Cowboys	W 38–17	23,500
13	December 10, 1961	at Chicago Bears	L 17–14	38,717
14	December 17, 1961	at New York Giants	T 7–7	61,084
