Round	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	Australian Grand Prix	Jacques Villeneuve	Heinz-Harald Frentzen	David Coulthard	McLaren - Mercedes	Report
2	Brazilian Grand Prix	Jacques Villeneuve	Jacques Villeneuve	Jacques Villeneuve	Williams - Renault	Report
3	Argentine Grand Prix	Jacques Villeneuve	Gerhard Berger	Jacques Villeneuve	Williams - Renault	Report
4	San Marino Grand Prix	Jacques Villeneuve	Heinz-Harald Frentzen	Heinz-Harald Frentzen	Williams - Renault	Report
5	Monaco Grand Prix	Heinz-Harald Frentzen	Michael Schumacher	Michael Schumacher	Ferrari	Report
6	Spanish Grand Prix	Jacques Villeneuve	Giancarlo Fisichella	Jacques Villeneuve	Williams - Renault	Report
7	Canadian Grand Prix	Michael Schumacher	David Coulthard	Michael Schumacher	Ferrari	Report
8	French Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
9	British Grand Prix	Jacques Villeneuve	Michael Schumacher	Jacques Villeneuve	Williams - Renault	Report
10	German Grand Prix	Gerhard Berger	Gerhard Berger	Gerhard Berger	Benetton - Renault	Report
11	Hungarian Grand Prix	Michael Schumacher	Heinz-Harald Frentzen	Jacques Villeneuve	Williams - Renault	Report
12	Belgian Grand Prix	Jacques Villeneuve	Jacques Villeneuve	Michael Schumacher	Ferrari	Report
13	Italian Grand Prix	Jean Alesi	Mika Häkkinen	David Coulthard	McLaren - Mercedes	Report
14	Austrian Grand Prix	Jacques Villeneuve	Jacques Villeneuve	Jacques Villeneuve	Williams - Renault	Report
15	Luxembourg Grand Prix	Mika Häkkinen	Heinz-Harald Frentzen	Jacques Villeneuve	Williams - Renault	Report
16	Japanese Grand Prix	Jacques Villeneuve	Heinz-Harald Frentzen	Michael Schumacher	Ferrari	Report
