Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2004	Formula BMW ADAC	Team Rosberg	20	0	0	0	8	168	4th
2005	Formula BMW ADAC	Team Rosberg	20	1	0	1	5	149	4th
2006	Formula Renault 2.0 Eurocup	JD Motorsport	14	2	2	1	6	91	2nd
2006	Formula Renault 2.0 NEC	JD Motorsport	14	4	7	4	7	267	2nd
2007	International Formula Master	JD Motorsport	16	2	1	2	7	65	2nd
2008	International Formula Master	JD Motorsport	16	6	6	8	10	101	1st
2008–09	GP2 Asia Series	Trident Racing	3	0	0	0	0	5	18th
2008–09	A1 Grand Prix	New Zealand	4	0	0	0	0	36†	7th†
2009	Formula Renault 3.5 Series	Epsilon Euskadi	17	0	0	0	1	41	11th
2010	Superleague Formula	Olympiacos CFP	18	4	2	3	10	653†	4th†
2010	Superleague Formula	Galatasaray	3	0	0	0	0	358†	13th†
2011	Superleague Formula	New Zealand	3	0	0	0	0	116†	7th†
2011	Formula Renault 3.5 Series	Mofaz Racing	7	0	0	0	1	43	12th
2012	Auto GP World Series	Manor MP Motorsport	12	1	0	0	4	127	4th
