Episode	Garfield Episode 1	U.S. Acres Episode	Garfield Episode 2	Original Airdate
"Show 1"	Peace and Quiet	Wanted: Wade	Garfield Goes an Hawaii	September17,1988
"Show 2"	Box O' Fun	Unidentified Flying Orson	School Daze	September24,1988
"Show 3"	Nighty Nightmare	Banana Nose	Ode to Odie	October1,1988
"Show 4"	Fraidy Cat	Shell Shocked Sheldon	Nothing to Sneeze At	October8,1988
"Show 5"	Garfield's Moving Experience	Wade: You're Afraid	Good Mouse-keeping	October15,1988
"Show 6"	Identity Crisis	The Bad Sport	Up a Tree	October22,1988
"Show 7"	Weighty Problem	The Worm Turns	Good Cat, Bad Cat	October29,1988
"Show 8"	Cabin Fever	Return of Power Pig	Fair Exchange	November5,1988
"Show 9"	The Binky Show	Keeping Cool	Don't Move	November12,1988
"Show 10"	Magic Mutt	Short Story	Monday Misery	November19,1988
"Show 11"	Best of Breed	National Tapioca Pudding Day	All About Odie	November26,1988
"Show 12"	Caped Avenger	Shy Fly Guy	Green Thumbs Down	December3,1988
