Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	23	35:26.734	2
Max Biaggi	Suzuki GSX-R1000 K7	23	+0.111	7
Troy Corser	Yamaha YZF-R1	23	+1.100	8
Ruben Xaus	Ducati 999 F06	23	+5.927	6
Lorenzo Lanzi	Ducati 999 F07	23	+9.834	5
Régis Laconi	Kawasaki ZX-10R	23	+12.203	3
Roberto Rolfo	Honda CBR1000RR	23	+22.287	16
Jakub Smrž	Ducati 999 F05	23	+30.060	17
Karl Muggeridge	Honda CBR1000RR	23	+37.734	9
Max Neukirchner	Suzuki GSX-R1000 K6	23	+39.893	11
Giovanni Bussei	Ducati 999 F06	23	+41.524	12
Michel Fabrizio	Honda CBR1000RR	23	+45.617	13
Steve Martin	Honda CBR1000RR	23	+52.547	14
Shinichi Nakatomi	Yamaha YZF-R1	23	+1:01.669	21
Josh Brookes	Honda CBR1000RR	23	+1:20.586	15
Aaron Zanotti	Yamaha YZF-R1	23	+1:26.912	19
Luca Morelli	Ducati 999RS	23	+1:27.181	22
Fonsi Nieto	Kawasaki ZX-10R	11	Retirement	10
Dean Ellison	Ducati 999RS	7	Retirement	20
James Toseland	Honda CBR1000RR	3	Retirement	4
Christian Zaiser	MV Agusta F4 312 R	0	Retirement	23
