Place	Player	Country	Score	To par	Money ( $ )
1	Tom Watson	United States	72-72-68-70 = 282	–6	60,000
2	Jack Nicklaus	United States	74-70-71-69 = 284	–4	34,506
T3	Bill Rogers	United States	70-73-69-74 = 286	–2	14,967
T3	Dan Pohl	United States	72-74-70-70 = 286	–2	14,967
T3	Bobby Clampett	United States	71-73-72-70 = 286	–2	14,967
T6	Gary Koch	United States	78-73-69-67 = 287	–1	8,011
T6	David Graham	Australia	73-72-69-73 = 287	–1	8,011
T6	Lanny Wadkins	United States	73-76-67-71 = 287	–1	8,011
T6	Jay Haas	United States	73-76-67-71 = 287	–1	8,011
T10	Bruce Devlin	Australia	70-69-75-74 = 288	E	6,332
T10	Calvin Peete	United States	71-72-72-73 = 288	E	6,332
