Game	Date	Opponent	Score	Location	Record
73	April 1	New Jersey Nets	104–111	Philadelphia Spectrum	60–13
74	April 3	@ Cleveland Cavaliers	96–84	Coliseum at Richfield	61–13
75	April 5	@ Milwaukee Bucks	116–108	MECCA Arena	62–13
76	April 6	San Antonio Spurs	109–112	Philadelphia Spectrum	62–14
77	April 8	Indiana Pacers	126–118	Philadelphia Spectrum	63–14
78	April 10	New York Knicks	113–97	Philadelphia Spectrum	64–14
79	April 12	@ Atlanta Hawks	97–102	Omni Coliseum	64–15
80	April 13	Washington Bullets	76–95	Philadelphia Spectrum	64–16
81	April 15	@ New Jersey Nets	100–98	Brendan Byrne Arena	65–16
82	April 17	@ Boston Celtics	101–114	Boston Garden	65–17
