CDP name	County	Pop. (2010)	Land ( sq mi )	Water (sq mi)	Coordinates	FIPS code	ANSI code
Accord	Ulster	562	3.400	0.043	41.801649, -74.230348	3600155	02389116
Adams Center	Jefferson	1,568	4.855	0.135	43.869969, -75.988612	3600232	02389117
Albertson	Nassau	5,182	0.680	0.000	40.771580, -73.648155	3601011	02389121
Altona	Clinton	730	1.709	0.000	44.890097, -73.659565	3601572	02389128
Amagansett	Suffolk	1,165	6.527	0.024	40.989824, -72.129707	3601594	02389130
Amenia	Dutchess	955	1.218	0.027	41.848205, -73.555583	3601682	02389131
Andes	Delaware	252	1.193	0.000	42.187559, -74.780523	3602121	02627968
Angola on the Lake	Erie	1,675	2.546	0.000	42.654965, -79.052239	3602220	02389136
Apalachin	Tioga	1,131	1.459	0.000	42.070565, -76.162636	3602308	02389140
Aquebogue	Suffolk	2,438	3.812	0.099	40.943988, -72.615472	3602374	02389141
Arlington	Dutchess	4,061	0.668	0.000	41.695869, -73.898881	3602616	02389147
Armonk	Westchester	4,330	5.966	0.093	41.133800, -73.717990	3602649	02389150
Au Sable Forks	Clinton	559	2.520	0.023	44.454707, -73.670879	3603254	02389158
Averill Park	Rensselaer	1,693	2.933	0.118	42.638827, -73.550665	3603320	02389161
Baiting Hollow	Suffolk	1,642	3.213	0.000	40.964623, -72.740315	3604055	02389167
Baldwin Harbor	Nassau	8,102	1.205	0.522	40.629981, -73.601991	3604154	02389169
Baldwin	Nassau	24,033	2.963	0.025	40.663379, -73.610770	3604143	02389168
Balmville	Orange	3,178	2.117	0.004	41.527905, -74.024627	3604286	02389171
Bardonia	Rockland	4,108	2.574	0.355	41.113952, -73.979297	3604396	02389173
Barnum Island	Nassau	2,414	0.879	0.388	40.606348, -73.645982	3604550	02389175
Bay Park	Nassau	2,212	0.500	0.102	40.629489, -73.667813	3604891	02389178
Bay Shore	Suffolk	26,337	5.368	0.159	40.730313, -73.249320	3604935	02389179
Bayport	Suffolk	8,896	3.720	0.076	40.745984, -73.056388	3604913	02389180
Baywood	Suffolk	7,350	2.260	0.000	40.753377, -73.290032	3605039	02389181
Beaver Dam Lake	Orange	2,242	1.812	0.298	41.447070, -74.115875	3605193	02389188
Bedford	Westchester	1,834	3.507	0.048	41.195974, -73.645855	3605309	02389190
Bedford Hills	Westchester	3,001	1.006	0.000	41.240568, -73.688077	3605342	02585491
Belfast	Allegany	837	1.385	0.027	42.336195, -78.116873	3605562	02627970
