Year	Date	Location	Theme	Anthem
2000	3 June	Beursgebouw, Eindhoven (Holland)	N/A	N/A
2001	2 June	Heineken Music Hall , Amsterdam	N/A	N/A
2002	6 April	Thialf Stadion , Heerenveen	Cosmos	N/A
2002	21 September	SilverDome, Zoetermeer	Infection	N/A
2003	12 April	Thialf Stadion , Heerenveen	Follow The Leader	The Prophet - Follow The Leader
2003	22 November	GelreDome , Arnhem	The Prophecy	Deepack - The Prophecy
2004	27 November	GelreDome , Arnhem	Destiny's Path	Future Tribes - Deadlock
2005	19 November	GelreDome , Arnhem	Science & Religion	DJ Zany - Science & Religion
2006	25 November	GelreDome , Arnhem	The Darkside	Alpha Twins - The Darkside
2007	17 November	GelreDome , Arnhem	The Power Of The Mind	Headhunterz - The Power Of The Mind
2008	22 November	GelreDome , Arnhem	Next Dimensional World	Technoboy - Next Dimensional World
2009	21 November	GelreDome , Arnhem	The Nature Of Our Mind	D-Block & S-te-Fan - The Nature Of Our Mind
2010	27 November	GelreDome , Arnhem	Alternate Reality	Brennan Heart - Alternate Reality
2011	26 November	GelreDome , Arnhem	No Way Back	Zatox - No Way Back
2012	24 November	GelreDome , Arnhem	Fate or Fortune	Psyko Punkz - Fate or Fortune
2013	23 November	GelreDome , Arnhem	Immortal Essence	Gunz For Hire ft. Ruffain - Immortal
