Date	Visitor	Score	Home	Decision	Attendance	Record	Points
March 4	Montreal Canadiens	1–5	Buffalo Sabres	Price	18,690	34–23–7	75
March 6	Montreal Canadiens	0–2	Atlanta Thrashers	Price	14,900	34–24–7	75
March 8	Montreal Canadiens	3–1	Dallas Stars	Price	17,646	35–24–7	77
March 10	Edmonton Oilers	3–4 OT	Montreal Canadiens	Price	21,273	36–24–7	79
March 12	New York Islanders	3–2 OT	Montreal Canadiens	Price	21,273	36–24–8	80
March 14	New Jersey Devils	3–1	Montreal Canadiens	Halak	21,273	36–25–8	80
March 17	New York Rangers	4–3 SO	Montreal Canadiens	Price	21,273	36–25–9	81
March 19	Montreal Canadiens	4–5	Ottawa Senators	Halak	20,500	36–26–9	81
March 21	Toronto Maple Leafs	5–2	Montreal Canadiens	Halak	21,273	36–27–9	81
March 24	Atlanta Thrashers	3–6	Montreal Canadiens	Price	21,273	37–27–9	83
March 26	Tampa Bay Lightning	2–3 OT	Montreal Canadiens	Price	21,273	38–27–9	85
March 28	Buffalo Sabres	4–3 SO	Montreal Canadiens	Price	21,273	38–27–10	86
March 31	Chicago Blackhawks	1–4	Montreal Canadiens	Price	21,273	39–27–10	88
