District	Incumbent	Party	First elected	Result	Candidates
Texas 2	John C. Box	Democratic	1918	Re-elected	John C. Box (D) Unopposed
Texas 3	Morgan G. Sanders	Democratic	1920	Re-elected	Morgan G. Sanders (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) 84.2% Floyd Harry (R) 15.8%
Texas 5	Hatton W. Sumners	Democratic	1914	Re-elected	Hatton W. Sumners (D) Unopposed
Texas 6	Luther A. Johnson	Democratic	1922	Re-elected	Luther A. Johnson (D) 90.7% H. Lee Monroe (R) 9.3%
Texas 7	Clay Stone Briggs	Democratic	1918	Re-elected	Clay Stone Briggs (D) 88.4% A. J. Long (R) 11.6%
Texas 11	Tom Connally	Democratic	1916	Retired to run for U. S. Senate Democratic hold	Oliver H. Cross (D) 90.9% R. C. Bush (R) 9.1%
Texas 12	Fritz G. Lanham	Democratic	1919	Re-elected	Fritz G. Lanham (D) 79.6% David Sutton (R) 20.4%
Texas 13	Guinn Williams	Democratic	1922	Re-elected	Guinn Williams (D) 88.5% P. A. Welty (R) 11.5%
Texas 15	John Nance Garner	Democratic	1902	Re-elected	John Nance Garner (D) 100.0% J. L. Burd (I) 0.0%
Texas 16	Claude Benton Hudspeth	Democratic	1918	Re-elected	Claude Benton Hudspeth (D) Unopposed
Texas 17	Thomas L. Blanton	Democratic	1916	Retired to run for U. S. Senate Democratic hold	Robert Quincy Lee (D) Unopposed
