Tie no	Home team	Score	Away team	Date
1	Sutton United	1–1	Middlesbrough	9 January 1988
Replay	Middlesbrough	1–0	Sutton United	12 January 1988
2	Watford	1–1	Hull City	9 January 1988
Replay	Hull City	2–2	Watford	12 January 1988
Replay	Watford	1–0	Hull City	18 January 1988
3	Yeovil Town	0–3	Queens Park Rangers	9 January 1988
4	Reading	0–1	Southampton	9 January 1988
5	Gillingham	0–3	Birmingham City	9 January 1988
6	Blackburn Rovers	1–2	Portsmouth	9 January 1988
7	Sheffield Wednesday	1–1	Everton	9 January 1988
Replay	Everton	1–1	Sheffield Wednesday	13 January 1988
Replay	Everton	1–1	Sheffield Wednesday	25 January 1988
Replay	Sheffield Wednesday	0–5	Everton	27 January 1988
8	Derby County	1–3	Chelsea	9 January 1988
9	Swindon Town	0–0	Norwich City	9 January 1988
Replay	Norwich City	0–2	Swindon Town	13 January 1988
10	Shrewsbury Town	2–1	Bristol Rovers	9 January 1988
11	Sheffield United	1–0	Maidstone United	9 January 1988
12	Ipswich Town	1–2	Manchester United	10 January 1988
13	Stockport County	1–2	Leyton Orient	9 January 1988
14	Newcastle United	1–0	Crystal Palace	9 January 1988
15	Barnsley	3–1	Bolton Wanderers	9 January 1988
16	Coventry City	2–0	Torquay United	9 January 1988
17	West Ham United	2–0	Charlton Athletic	9 January 1988
18	Brighton & Hove Albion	2–0	Bournemouth	9 January 1988
19	Plymouth Argyle	2–0	Colchester United	11 January 1988
20	Bradford City	2–1	Wolverhampton Wanderers	9 January 1988
21	Oldham Athletic	2–4	Tottenham Hotspur	9 January 1988
22	Wimbledon	4–1	West Bromwich Albion	9 January 1988
23	Scunthorpe United	0–0	Blackpool	9 January 1988
Replay	Blackpool	1–0	Scunthorpe United	12 January 1988
24	Huddersfield Town	2–2	Manchester City	9 January 1988
Replay	Manchester City	0–0	Huddersfield Town	12 January 1988
Replay	Huddersfield Town	0–3	Manchester City	25 January 1988
25	Mansfield Town	4–0	Bath City	9 January 1988
26	Port Vale	1–0	Macclesfield Town	10 January 1988
27	Halifax Town	0–4	Nottingham Forest	9 January 1988
28	Arsenal	2–0	Millwall	9 January 1988
29	Leeds United	1–2	Aston Villa	9 January 1988
30	Stoke City	0–0	Liverpool	9 January 1988
Replay	Liverpool	1–0	Stoke City	12 January 1988
31	Oxford United	2–0	Leicester City	9 January 1988
32	Hartlepool United	1–2	Luton Town	9 January 1988
