Week	Date	Opponent	Result	Attendance
1	September 4, 1988	at Indianapolis Colts	W 17–14	57,251
2	September 11, 1988	Los Angeles Raiders	W 38–35	46,050
3	September 18, 1988	at New York Jets	L 45–3	64,683
4	September 25, 1988	New England Patriots	W 31–6	38,646
5	October 2, 1988	at Philadelphia Eagles	L 32–23	64,692
6	October 9, 1988	Kansas City Chiefs	W 7–6	39,134
7	October 16, 1988	at Pittsburgh Steelers	W 34–14	52,229
8	October 23, 1988	at Cincinnati Bengals	L 44–21	54,659
9	October 30, 1988	Washington Redskins	W 41–17	48,781
10	November 7, 1988	Cleveland Browns	W 24–17	51,467
11	November 13, 1988	at Seattle Seahawks	L 27–24	60,446
12	November 20, 1988	Phoenix Cardinals	W 38–20	43,843
13	November 24, 1988	at Dallas Cowboys	W 25–17	50,845
14	December 4, 1988	Pittsburgh Steelers	L 37–34	47,791
15	December 11, 1988	Cincinnati Bengals	W 41–6	50,269
16	December 18, 1988	at Cleveland Browns	L 28–23	74,610
