Track no.	Track	Original Artist	Soloist(s)	Vocal Percussionist	Arranger(s)
2	Song 2	Blur	Jonathan Webb	Joe Hasell	Benjamin Woodgates
3	Sorry Seems to Be the Hardest Word	Elton John	Calum Melville, Deep Basu Ray	Benedict Burnett	Benjamin Woodgates
4	I Wish	Stevie Wonder	Deep Basu Ray	Benedict Burnett	Will Stuart
5	Somebody Told Me	The Killers	Harry Martin	Mark Cartwright	Benedict Burnett
6	Mustang Sally	Mack Rice , Wilson Pickett	Jonathan Webb	Benjamin Woodgates	Benjamin Woodgates
7	Easy	Commodores	Will Stuart	Harry Smith	Richard Holdsworth
8	Canned Heat	Jamiroquai	Terry Tamm	Phil Birkett	Benjamin Woodgates
9	Patience	Take That	Mark Cartwright	Jonathan Webb	Benjamin Woodgates
10	Ain't No Sunshine	Bill Withers	Benjamin Woodgates	Jonathan Webb	Jonathan Webb
11	You Know My Name	Chris Cornell	Deep Basu Ray	Joe Hasell	Ed Brightman, Richard Holdsworth
