Institution	Location	Founded	Affiliation	Enrollment	Team Nickname	Primary conference
Adrian College	Adrian, Michigan	1859	Private/Methodist	1040	Bulldogs	MIAA ( D-III )
Central Michigan University	Mount Pleasant, Michigan	1892	Public	26788	Chippewas	Mid-American ( D-I )
Davenport University	Caledonia, Michigan	1960	Private	12471	Panthers	Wolverine–Hoosier ( NAIA )
Grand Valley State University	Allendale, Michigan	1960	Public	23892	Lakers	GLIAC ( D-II )
Michigan State University	East Lansing, Michigan	1855	Public	46045	Spartans	Big Ten ( D-I )
University of Michigan	Ann Arbor, Michigan	1817	Public	40042	Wolverines	Big Ten ( D-I )
Northern Michigan University	Marquette, Michigan	1899	Public	9400	Wildcats	GLIAC ( D-II )
Miami University	Oxford, Ohio	1809	Public	20126	RedHawks	Mid-American ( D-I )
Ohio State University	Columbus, Ohio	1870	Public	60347	Buckeyes	Big Ten ( D-I )
Robert Morris University-Illinois	Chicago, Illinois	1913	Private/Non-Sectarian	7727	Eagles	Chicagoland ( NAIA )
