District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 4	Ray Roberts	Democratic	1962	Re-elected	Ray Roberts (D) 70.2% James Russell (R) 29.8%
Texas 5	Earle Cabell	Democratic	1964	Lost re-election Republican gain	Alan Steelman (R) 55.7% Earle Cabell (D) 44.3%
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) 72.6% Carl Nigliazzo (R) 27.4%
Texas 9	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 66.2% Randolph C. Reed (D) 33.8%
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) Unopposed
Texas 14	John Andrew Young	Democratic	1956	Re-elected	John Andrew Young (D) Unopposed
Texas 15	Kika de la Garza	Democratic	1964	Re-elected	Kika de la Garza (D) Unopposed
Texas 16	Richard C. White	Democratic	1964	Re-elected	Richard C. White (D) Unopposed
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) Unopposed
Texas 21	O. C. Fisher	Democratic	1942	Re-elected	O. C. Fisher (D) 56.8% Doug Harlan (R) 43.2%
