Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Bačka Topola	Бачка Топола (Hungarian: Topolya)	town	14,573	Hungarians	Catholic Christianity
Bački Sokolac	Бачки Соколац	village	480	Serbs	Orthodox Christianity
Bagremovo	Багремово (Hungarian: Brazília)	village	151	Hungarians	Catholic Christianity
Bajša	Бајша (Hungarian: Bajsa)	village	2,297	Hungarians	Catholic Christianity
Bogaraš	Богараш (Hungarian: Bogaras)	village	83	Hungarians	Catholic Christianity
Gornja Rogatica	Горња Рогатица	village	409	Serbs	Orthodox Christianity
Gunaroš	Гунарош (Hungarian: Gunaras)	village	1,264	Hungarians	Catholic Christianity
Karađorđevo	Карађорђево	village	468	Serbs	Orthodox Christianity
Kavilo	Кавило (Hungarian: Rákóczitelkep)	village	177	Hungarians	Catholic Christianity
Krivaja	Криваја	village	653	Serbs	Orthodox Christianity
Mali Beograd	Мали Београд	village	456	Serbs	Orthodox Christianity
Mićunovo	Мићуново	village	469	Serbs	Orthodox Christianity
Novo Orahovo	Ново Орахово (Hungarian: Zentagunaras)	village	1,768	Hungarians	Catholic Christianity
Njegoševo	Његошево	village	534	Serbs	Orthodox Christianity
Obornjača	Оборњача	village	uninhabited	uninhabited in 2011	uninhabited in 2011
Pačir	Пачир (Hungarian: Pacsér)	village	2,580	Hungarians	Protestantism
Panonija	Панонија	village	607	Serbs	Orthodox Christianity
Pobeda	Победа (Hungarian: Győztes)	village	271	Hungarians	Catholic Christianity
Srednji Salaš	Средњи Салаш	village	104	Serbs	Orthodox Christianity
Stara Moravica	Стара Моравица (Hungarian: Bácskossuthfalva)	village	5,051	Hungarians	Protestantism
Svetićevo	Светићево	village	147	Serbs	Orthodox Christianity
Tomislavci	Томиславци	village	541	Serbs	Orthodox Christianity
