Rnd	Race Name	Circuit	City/Location	Date	Pole position	Fastest lap	Winning driver	Winning team	Report
1	Marlboro Grand Prix of Miami Presented by Toyota	Homestead-Miami Speedway	Homestead, Florida	March 2	Alex Zanardi	Michael Andretti	Michael Andretti	Newman/Haas Racing	Report
2	Sunbelt IndyCarnival Australia	Surfers Paradise Street Circuit	Surfers Paradise , Australia	April 6	Alex Zanardi	Alex Zanardi	Scott Pruett	Patrick Racing	Report
3	Toyota Grand Prix of Long Beach	Streets of Long Beach	Long Beach, California	April 13	Gil de Ferran	Alex Zanardi	Alex Zanardi	Target Chip Ganassi	Report
4	Bosch Spark Plug Grand Prix Presented by Toyota	Nazareth Speedway	Nazareth, Pennsylvania	April 27	Paul Tracy	Paul Tracy	Paul Tracy	Marlboro Team Penske	Report
5	Hollywood Rio 400k	Autódromo de Jacarepaguá	Rio de Janeiro , Brazil	May 11	Maurício Gugelmin	Gil de Ferran	Paul Tracy	Marlboro Team Penske	Report
6	Motorola 300	Gateway International Raceway	Madison, Illinois	May 24	Raul Boesel	Dario Franchitti	Paul Tracy	Marlboro Team Penske	Report
7	Miller Genuine Draft 200	Milwaukee Mile	West Allis, Wisconsin	June 1	Paul Tracy	Paul Tracy	Greg Moore	Forsythe Racing	Report
8	ITT Automotive Detroit Grand Prix	The Raceway on Belle Isle Park	Detroit, Michigan	June 8	Gil de Ferran	Dario Franchitti	Greg Moore	Forsythe Racing	Report
9	Budweiser/G.I. Joe's 200	Portland International Raceway	Portland, Oregon	June 22	Scott Pruett	Raul Boesel	Mark Blundell	PacWest	Report
10	Medic Drug Grand Prix of Cleveland	Cleveland Burke Lakefront Airport	Cleveland, Ohio	July 13	Alex Zanardi	Alex Zanardi	Alex Zanardi	Target Chip Ganassi	Report
11	Molson Indy Toronto	Exhibition Place	Toronto, Ontario	July 20	Dario Franchitti	Mark Blundell	Mark Blundell	PacWest	Report
12	U.S. 500 Presented by Toyota	Michigan International Speedway	Brooklyn, Michigan	July 27	Scott Pruett	Maurício Gugelmin	Alex Zanardi	Target Chip Ganassi	Report
13	Miller 200	Mid-Ohio Sports Car Course	Lexington, Ohio	August 10	Bryan Herta	Alex Zanardi	Alex Zanardi	Target Chip Ganassi	Report
14	Texaco/Havoline 200	Road America	Elkhart Lake, Wisconsin	August 17	Maurício Gugelmin	Alex Zanardi	Alex Zanardi	Target Chip Ganassi	Report
15	Molson Indy Vancouver	Streets of Vancouver	Vancouver, British Columbia	August 31	Alex Zanardi	Alex Zanardi	Maurício Gugelmin	PacWest	Report
16	Toyota Grand Prix of Monterey	Mazda Raceway Laguna Seca	Monterey, California	September 7	Bryan Herta	Mark Blundell	Jimmy Vasser	Target Chip Ganassi	Report
