Driver	Constructor	Laps	Time/Retired	Grid
Jim Clark	Lotus - Ford	108	2:03:13.2	2
Graham Hill	Lotus - Ford	108	+ 6.3	1
Denny Hulme	Brabham - Repco	107	+ 1 Lap	6
Jo Siffert	Cooper - Maserati	106	+ 2 Laps	12
Jack Brabham	Brabham - Repco	104	+ 4 Laps	5
Jo Bonnier	Cooper - Maserati	101	+ 7 Laps	15
Jean-Pierre Beltoise	Matra - Ford	101	+ 7 Laps	18
John Surtees	Honda	96	Alternator	11
Chris Amon	Ferrari	95	Engine	4
Jackie Stewart	BRM	72	Injection	10
Jacky Ickx	Cooper - Maserati	45	Overheating	16
Guy Ligier	Brabham - Repco	43	Engine	17
Chris Irwin	BRM	41	Engine	14
Mike Spence	BRM	35	Engine	13
Jochen Rindt	Cooper - Maserati	33	Engine	8
Dan Gurney	Eagle - Weslake	24	Suspension	3
Bruce McLaren	McLaren - BRM	16	Water Leak	9
Moisés Solana	Lotus - Ford	7	Ignition	7
