Name	Career	Matches	Overs	Maidens	Runs	Wickets	Average	Best	5w	10w
Shane Warne Category:Articles with hCards	1992-2007	145	6784.1	1762	17995	708	25.42	8/71	37	10
Glenn McGrath Category:Articles with hCards	1993-2007	124	4874.4	1470	12186	563	21.64	8/24	29	3
Dennis Lillee Category:Articles with hCards	1971-1984	70	2834.1	652	8493	355	23.92	7/83	23	7
Brett Lee Category:Articles with hCards	1999-2010	76	2755.1	547	9555	310	30.82	5/30	10	0
Craig McDermott Category:Articles with hCards	1984-1996	71	2764.2	583	8332	291	28.63	8/97	14	2
Jason Gillespie Category:Articles with hCards	1996-2006	71	2372.2	630	6770	259	26.14	7/37	8	0
Richie Benaud Category:Articles with hCards	1952-1964	63	2727.2	805	6704	248	27.03	7/72	16	1
Graham McKenzie Category:Articles with hCards	1961-1971	60	2629.5	547	7328	246	29.79	8/71	16	3
Ray Lindwall Category:Articles with hCards	1946-1960	61	1970.2	419	5251	228	23.03	7/38	12	0
Clarrie Grimmett Category:Articles with hCards	1925-1936	37	2408.3	736	5231	216	24.22	7/40	21	7
Merv Hughes Category:Articles with hCards	1985-1994	53	2047.3	499	6017	212	28.38	8/87	7	1
Stuart MacGill Category:Articles with hCards	1998-2008	44	1872.5	365	6037	208	29.02	8/108	12	2
Mitchell Johnson Category:Articles with hCards	2007-	50	1870	331	6281	205	30.64	8/61	8	0
