Station	Distance from Wellington	Height above sea level (m)	Opened	Closed
Wellington	0km	2.4m	1937	Open
Lambton	0km	2.4m	1884	1937
Pipitea	0.75km	2.4m	1874	1884
Thorndon	0.75km	2.4m	1886	1937
Kaiwharawhara	2.44km	2.4m	1874	Open
Takapu Road	11.78km	41m	1937	Open
Redwood	13.16km	26.5m	1963	Open
Tawa	13.58km	25.6m	1937	Open
Linden	14.85km	17.7m	1940	Open
Kenepuru	16.16km	15m	1940	Open
Porirua	17.8km	3.6m	1885	Open
Paremata	21.7km	2.7m	1885	Open
Mana	23.04km	3m	1949	Open
Plimmerton	24.4km	5.8m	1885	Open
Pukerua Bay	30.1km	80m	1885	Open
Muri	31.15km	77m	1952	2011
Paekakariki	38.84km	7m	1886	Open
Wainui	40.85km	9m	1886	1900
Paraparaumu	48.28km	13.7m	1886	Open
Otaihunga	51.5km	21m	1886	1902
Waikanae	55.31km	31m	1886	Open
Hadfield	60km	39m	1886	1906
Te Horo	64.77km	19.2m	1886	1965
Hautere	67.6km	15.2m	1886	1900
Otaki	70.28km	14.6m	1886	Open
Manakau	79.3km	30.5m	1886	1967
Ohau	84.95km	30.7m	1886	c.1970
Levin	90.3km	36.5m	1886	Open
Queen Street	91.37km	36.5m	1956	c.1970
Levin	91.5km	36.5m	1886	1894
Koputaroa	99.23km	8.5m	1886	c.1970
Shannon	106.57km	12.2m	1886	Open
Makerua	111.84km	7.62m	1886	c.1970
Tokomaru	118.35km	17.7m	1886	closed
Linton	124.19km	18.3m	1886	closed
Longburn	129.69km	19.8m	1873	closed
Awapuni	132km	24.7m	1876	1965
Palmerston North	135.76km	30m	1873	1965
Terrace End	138.51km	38.1m	1876	1964
Palmerston North	136.03km	28m	1963	Open
Bunnythorpe	144.47km	55.2m	1876	closed
Taonui	148.62km	61.9m	1876	1963
Aorangi	150.66km	70.7m	1876	1965
Feilding	152.98km	72.2m	1876	2012
Makino Road	156.26km	103m	1878	1960
Maewa	158.34km	107m	1878	1962
Halcombe	165.76km	118m	1878	closed
