No.	Player	Date of Birth	Batting Style	Bowling Style	First Class Team
59.	Brian Lara (captain)	2 May 1969	Left hand bat	Right arm leg break Googly	Trinidad and Tobago
55.	Keith Arthurton	21 February 1965	Left hand bat	Left arm orthodox spin	Leeward Islands
66.	Shivnarine Chanderpaul	16 August 1974	Left hand bat	Right arm leg break	Guyana
86.	Mervyn Dillon	5 June 1974	Right hand bat	Right arm fast-medium	Trinidad and Tobago
50.	Carl Hooper	15 December 1966	Right hand bat	Right arm off break	Guyana
76.	Ridley Jacobs (wicket-keeper)	26 November 1967	Left hand bat	Wicket-keeper	Leeward Islands
89.	Reon King	6 October 1975	Right hand bat	Right arm fast-medium	Guyana
58.	Clayton Lambert	10 February 1962	Left hand bat	Right arm off break	Guyana
85.	Rawl Lewis	5 September 1974	Right hand bat	Right arm leg break Googly	Windward Islands
78.	Nixon McLean	20 July 1973	Left hand bat	Right arm fast	Windward Islands
87.	Neil McGarrell	12 July 1972	Right hand bat	Left arm orthodox spin	Guyana
51.	Phil Simmons	18 April 1963	Right hand bat	Right arm medium	Trinidad and Tobago
61.	Philo Wallace	2 August 1970	Right hand bat	Right arm medium	Barbados
68.	Stuart Williams	12 August 1969	Right hand bat	Right arm medium	Leeward Islands
