Member	Party	Electorate	State	Term of office
Hon Charles Adermann	Country	Fisher	Qld	1943–1972
Ian Allan	Country	Gwydir	NSW	1953–1969
Doug Anthony	Country	Richmond	NSW	1957–1984
John Armitage	Labor	Mitchell	NSW	1961–1963, 1969–1983
Lance Barnard	Labor	Bass	Tas	1954–1975
Charles Barnes	Country	McPherson	Qld	1958–1972
Sir Garfield Barwick	Liberal	Parramatta	NSW	1958–1964
Jeff Bate	Liberal	Macarthur	NSW	1949–1972
Noel Beaton	Labor	Bendigo	Vic	1960–1969
Kim Beazley	Labor	Fremantle	WA	1945–1977
Sam Benson [2 ]	Labor	Batman	Vic	1962–1969
Alan Bird [2 ]	Labor	Batman	Vic	1949–1962
Wilfred Brimblecombe	Country	Maranoa	Qld	1951–1966
Gordon Bryant	Labor	Wills	Vic	1955–1980
Alexander Buchanan	Liberal	McMillan	Vic	1955–1972
Leslie Bury	Liberal	Wentworth	NSW	1956–1974
Dr Jim Cairns	Labor	Yarra	Vic	1955–1977
Hon Arthur Calwell	Labor	Melbourne	Vic	1940–1972
Clyde Cameron	Labor	Hindmarsh	SA	1949–1980
Donald James Cameron	Labor	Lilley	Qld	1961–1963
Fred Chaney	Liberal	Perth	WA	1955–1969
Don Chipp	Liberal	Higinbotham	Vic	1960–1977
Joe Clark	Labor	Darling	NSW	1934–1969
Lionel Clay	Labor	St George	NSW	1958–1963
Richard Cleaver	Liberal	Swan	WA	1955–1969
John Cockle	Liberal	Warringah	NSW	1961–1966
Fred Collard	Labor	Kalgoorlie	WA	1961–1975
Jack Comber	Labor	Bowman	Qld	1961–1963
Jim Cope	Labor	Watson	NSW	1955–1975
Dominic Costa	Labor	Banks	NSW	1949–1969
Frank Courtnay	Labor	Darebin	Vic	1958–1969
Wilfred Coutts	Labor	Griffith	Qld	1954–1958, 1961–1966
Hon John Cramer	Liberal	Bennelong	NSW	1949–1974
Frank Crean	Labor	Melbourne Ports	Vic	1951–1977
Manfred Cross	Labor	Brisbane	Qld	1961–1975, 1980–1990
Dan Curtin	Labor	Kingsford-Smith	NSW	1949–1969
Fred Daly	Labor	Grayndler	NSW	1943–1975
Hon Charles Davidson	Country	Dawson	Qld	1946–1963
Ron Davies	Labor	Braddon	Tas	1958–1975
Frank Davis	Liberal	Deakin	Vic	1949–1966
Roger Dean	Liberal	Robertson	NSW	1949–1964
Leonard Devine [4 ]	Labor	East Sydney	NSW	1963–1969
Hon Alec Downer	Liberal	Angas	SA	1949–1964
Hon David Drummond	Country	New England	NSW	1949–1963
Nigel Drury	Liberal	Ryan	Qld	1949–1975
Gil Duthie	Labor	Wilmot	Tas	1946–1975
Syd Einfeld	Labor	Phillip	NSW	1961–1963
John England	Country	Calare	NSW	1960–1975
Dudley Erwin	Liberal	Ballaarat	Vic	1955–1975
Laurie Failes	Country	Lawson	NSW	1949–1969
David Fairbairn	Liberal	Farrer	NSW	1949–1975
Hon Allen Fairhall	Liberal	Paterson	NSW	1949–1969
Bill Falkinder	Liberal	Franklin	Tas	1946–1966
Dr Jim Forbes	Liberal	Barker	SA	1956–1975
Max Fox	Liberal	Henty	Vic	1955–1974
Allan Fraser	Labor	Eden-Monaro	NSW	1943–1966, 1969–1972
James Fraser [1 ]	Labor	Australian Capital Territory	ACT	1951–1970
Malcolm Fraser	Liberal	Wannon	Vic	1955–1983
Gordon Freeth	Liberal	Forrest	WA	1949–1969
Arthur Fuller	Labor	Hume	NSW	1943–1949, 1951–1955, 1961–1963
Bill Fulton	Labor	Leichhardt	Qld	1958–1975
Pat Galvin	Labor	Kingston	SA	1951–1966
George Gray	Labor	Capricornia	Qld	1961–1967
Charles Griffiths	Labor	Shortland	NSW	1949–1972
Brendan Hansen	Labor	Wide Bay	Qld	1961–1974
Ted Harding	Labor	Herbert	Qld	1961–1966
Jim Harrison	Labor	Blaxland	NSW	1949–1969
Hon Paul Hasluck	Liberal	Curtin	WA	1949–1969
William Haworth	Liberal	Isaacs	Vic	1949–1969
Bill Hayden	Labor	Oxley	Qld	1961–1988
Leslie Haylen	Labor	Parkes	NSW	1943–1963
Rt Hon Harold Holt	Liberal	Higgins	Vic	1935–1967
Mac Holten	Country	Indi	Vic	1958–1977
Peter Howson	Liberal	Fawkner	Vic	1955–1972
William Jack	Liberal	North Sydney	NSW	1949–1966
Bert James	Labor	Hunter	NSW	1960–1980
John Jess	Liberal	La Trobe	Vic	1960–1972
Les Johnson	Labor	Hughes	NSW	1955–1966, 1969–1984
Charles Jones	Labor	Newcastle	NSW	1958–1983
Victor Kearney	Labor	Cunningham	NSW	1956–1963
Bert Kelly	Liberal	Wakefield	SA	1958–1977
Hon Wilfrid Kent Hughes	Liberal	Chisholm	Vic	1949–1970
Jim Killen	Liberal	Moreton	Qld	1955–1983
Bob King	Country	Wimmera	Vic	1958–1977
Hugh Leslie	Country	Moore	WA	1949–1958, 1961–1963
Robert Lindsay	Liberal	Flinders	Vic	1954–1966
Tony Luchetti	Labor	Macquarie	NSW	1951–1975
Philip Lucock	Country	Lyne	NSW	1953–1980
Rt Hon John McEwen	Country	Murray	Vic	1934–1971
Frank McGuren	Labor	Cowper	NSW	1961–1963
Hector McIvor	Labor	Gellibrand	Vic	1955–1972
Dan Mackinnon	Liberal	Corangamite	Vic	1949–1951, 1953–1966
Hon John McLeay	Liberal	Boothby	SA	1949–1966
Hon William McMahon	Liberal	Lowe	NSW	1949–1982
Neil McNeill	Liberal	Canning	WA	1961–1963
Hon Norman Makin	Labor	Bonython	SA	1919–1946, 1954–1963
Rt Hon Robert Menzies	Liberal	Kooyong	Vic	1934–1966
Dan Minogue	Labor	West Sydney	NSW	1949–1969
James Monaghan	Labor	Evans	NSW	1961–1963
Jack Mortimer [3 ]	Labor	Grey	SA	1963–1966
Jock Nelson [1 ]	Labor	Northern Territory	NT	1949–1966
Peter Nixon	Country	Gippsland	Vic	1961–1983
Reginald O'Brien	Labor	Petrie	Qld	1961–1963
William O'Connor	Labor	Dalley	NSW	1946–1969
Hubert Opperman	Liberal	Corio	Vic	1949–1967
Ted Peters	Labor	Scullin	Vic	1949–1969
Hon Reg Pollard	Labor	Lalor	Vic	1937–1966
Leonard Reynolds	Labor	Barton	NSW	1958–1966, 1969–1975
Hon Bill Riordan	Labor	Kennedy	Qld	1936–1966
Hon Hugh Roberton	Country	Riverina	NSW	1949–1965
Edgar Russell [3 ]	Labor	Grey	SA	1943–1963
Joe Sexton	Labor	Adelaide	SA	1958–1966
Billy Snedden	Liberal	Bruce	Vic	1955–1983
Frank Stewart	Labor	Lang	NSW	1953–1979
Philip Stokes	Liberal	Maribyrnong	Vic	1955–1969
Reginald Swartz	Liberal	Darling Downs	Qld	1949–1972
Albert Thompson	Labor	Port Adelaide	SA	1946–1963
Hon Athol Townley	Liberal	Denison	Tas	1949–1964
Winton Turnbull	Country	Mallee	Vic	1946–1972
Harry Turner	Liberal	Bradfield	NSW	1952–1974
Tom Uren	Labor	Reid	NSW	1958–1990
Hon Eddie Ward [4 ]	Labor	East Sydney	NSW	1931, 1932–1963
Harry Webb	Labor	Stirling	WA	1954–1958, 1961–1972
William Wentworth	Liberal	Mackellar	NSW	1949–1977
Gough Whitlam	Labor	Werriwa	NSW	1952–1978
Ray Whittorn	Liberal	Balaclava	Vic	1960–1974
Keith Wilson	Liberal	Sturt	SA	1949–1954, 1955–1966
