Date	Visitor	Score	Home	Record
October 4	Edmonton Oilers	2–9	Calgary Flames	0–1–0
October 6	Los Angeles Kings	2–2	Edmonton Oilers	0–1–1
October 8	Edmonton Oilers	3–6	Los Angeles Kings	0–2–1
October 10	Edmonton Oilers	2–3	St. Louis Blues	0–3–1
October 12	Calgary Flames	1–3	Edmonton Oilers	1–3–1
October 15	Edmonton Oilers	1–3	Detroit Red Wings	1–4–1
October 17	Edmonton Oilers	2–4	Chicago Blackhawks	1–5–1
October 19	Edmonton Oilers	4–2	New York Islanders	2–5–1
October 20	Edmonton Oilers	4–3	New York Rangers	3–5–1
October 23	Washington Capitals	6–5	Edmonton Oilers	3–6–1
October 26	Vancouver Canucks	4–5	Edmonton Oilers	4–6–1
October 27	Edmonton Oilers	6–3	Vancouver Canucks	5–6–1
October 30	St. Louis Blues	2–2	Edmonton Oilers	5–6–2
November 1	New Jersey Devils	3–1	Edmonton Oilers	5–7–2
November 3	Edmonton Oilers	2–7	Vancouver Canucks	5–8–2
November 6	New York Islanders	3–5	Edmonton Oilers	6–8–2
November 8	Edmonton Oilers	2–6	San Jose Sharks	6–9–2
November 9	Edmonton Oilers	4–4	Los Angeles Kings	6–9–3
November 13	Edmonton Oilers	4–5	Pittsburgh Penguins	6–10–3
November 14	Edmonton Oilers	1–3	Philadelphia Flyers	6–11–3
November 16	Edmonton Oilers	6–2	Quebec Nordiques	7–11–3
November 18	Edmonton Oilers	0–1	Montreal Canadiens	7–12–3
November 23	Winnipeg Jets	4–0	Edmonton Oilers	7–13–3
November 27	Chicago Blackhawks	2–6	Edmonton Oilers	8–13–3
November 29	San Jose Sharks	4–4	Edmonton Oilers	8–13–4
December 1	Vancouver Canucks	0–7	Edmonton Oilers	9–13–4
December 3	Pittsburgh Penguins	3–5	Edmonton Oilers	10–13–4
December 6	Edmonton Oilers	4–4	Winnipeg Jets	10–13–5
December 8	San Jose Sharks	1–3	Edmonton Oilers	11–13–5
December 10	Edmonton Oilers	7–4	Vancouver Canucks	12–13–5
December 12	Edmonton Oilers	3–6	San Jose Sharks	12–14–5
December 14	Winnipeg Jets	5–7	Edmonton Oilers	13–14–5
December 15	Detroit Red Wings	4–1	Edmonton Oilers	13–15–5
December 18	Edmonton Oilers	7–5	Toronto Maple Leafs	14–15–5
December 20	Edmonton Oilers	4–4	Buffalo Sabres	14–15–6
December 21	Edmonton Oilers	3–6	Boston Bruins	14–16–6
December 23	Calgary Flames	3–5	Edmonton Oilers	15–16–6
December 28	Los Angeles Kings	9–4	Edmonton Oilers	15–17–6
December 29	Montreal Canadiens	3–1	Edmonton Oilers	15–18–6
January 2	Edmonton Oilers	3–5	Los Angeles Kings	15–19–6
January 4	Edmonton Oilers	3–2	Calgary Flames	16–19–6
January 5	Calgary Flames	3–2	Edmonton Oilers	16–20–6
January 8	Edmonton Oilers	2–5	Winnipeg Jets	16–21–6
January 10	Edmonton Oilers	2–8	Buffalo Sabres	16–22–6
January 11	Edmonton Oilers	5–5	Detroit Red Wings	16–22–7
January 13	Edmonton Oilers	7–4	Minnesota North Stars	17–22–7
January 15	Vancouver Canucks	5–3	Edmonton Oilers	17–23–7
January 21	San Jose Sharks	2–9	Edmonton Oilers	18–23–7
January 23	New York Rangers	3–1	Edmonton Oilers	18–24–7
January 25	Edmonton Oilers	2–5	San Jose Sharks	18–25–7
January 28	Edmonton Oilers	5–3	Vancouver Canucks	19–25–7
January 29	Chicago Blackhawks	4–3	Edmonton Oilers	19–26–7
January 31	Hartford Whalers	1–4	Edmonton Oilers	20–26–7
February 2	Quebec Nordiques	2–8	Edmonton Oilers	21–26–7
February 5	Montreal Canadiens	1–2	Edmonton Oilers	22–26–7
February 7	New York Islanders	2–4	Edmonton Oilers	23–26–7
February 11	Edmonton Oilers	5–4	Minnesota North Stars	24–26–7
February 13	Edmonton Oilers	3–1	Hartford Whalers	25–26–7
February 15	Edmonton Oilers	5–8	Philadelphia Flyers	25–27–7
February 16	Edmonton Oilers	5–7	Toronto Maple Leafs	25–28–7
February 19	Los Angeles Kings	3–4	Edmonton Oilers	26–28–7
February 21	Boston Bruins	5–3	Edmonton Oilers	26–29–7
February 23	Buffalo Sabres	2–5	Edmonton Oilers	27–29–7
February 26	Winnipeg Jets	1–6	Edmonton Oilers	28–29–7
February 28	Philadelphia Flyers	2–4	Edmonton Oilers	29–29–7
March 1	Edmonton Oilers	4–2	Winnipeg Jets	30–29–7
March 4	Toronto Maple Leafs	5–2	Edmonton Oilers	30–30–7
March 6	St. Louis Blues	3–5	Edmonton Oilers	31–30–7
March 11	New Jersey Devils	2–2	Edmonton Oilers	31–30–8
March 14	Hartford Whalers	1–3	Edmonton Oilers	32–30–8
March 17	Edmonton Oilers	5–6	Pittsburgh Penguins	32–31–8
March 19	Edmonton Oilers	5–3	New Jersey Devils	33–31–8
March 21	Edmonton Oilers	4–3	Boston Bruins	34–31–8
March 22	Edmonton Oilers	2–6	Washington Capitals	34–32–8
March 24	Edmonton Oilers	4–4	Calgary Flames	34–32–9
March 27	Minnesota North Stars	3–5	Edmonton Oilers	35–32–9
March 29	Los Angeles Kings	2–2	Edmonton Oilers	35–32–10
March 31	Edmonton Oilers	2–5	Calgary Flames	35–33–10
April 12	San Jose Sharks	4–6	Edmonton Oilers	36–33–10
April 14	Winnipeg Jets	6–2	Edmonton Oilers	36–34–10
