Location	Year	Champion	Runner-up	Score	Name
Tucson	1974	Charlie Pasarell Sherwood Stewart	Tom Edlefsen Manuel Orantes	6–4, 6–4	American Airlines Tennis Games
Tucson	1975	William Brown Raúl Ramírez	Raymond Moore Dennis Ralston	2–6, 7–6, 6–4	American Airlines Tennis Games
Palm Springs	1976	Colin Dibley Sandy Mayer	Raymond Moore Erik Van Dillen	6–3, 7–5	American Airlines Tennis Games
Palm Springs	1977	Bob Hewitt Frew McMillan	Marty Riessen Roscoe Tanner	7–6, 7–6	American Airlines Tennis Games
Palm Springs	1978	Raymond Moore Roscoe Tanner	Bob Hewitt Frew McMillan	6–4, 6–4	American Airlines Tennis Games
Rancho Mirage	1979	Gene Mayer Sandy Mayer	Cliff Drysdale Bruce Manson	6–4, 7–6	Congoleum Classic
Rancho Mirage	1980	Final not held due to rain	Final not held due to rain	Final not held due to rain	Congoleum Classic
La Quinta	1981	Bruce Manson Brian Teacher	Terry Moor Eliot Teltscher	7–6, 6–2	Grand Marnier Tennis Games
La Quinta	1982	Brian Gottfried Raúl Ramírez	John Lloyd Dick Stockton	6–4, 3–6, 6–2	Congoleum Classic (II)
La Quinta	1983	Brian Gottfried Raúl Ramírez	Tian Viljoen Danie Visser	6–3, 6–3	Congoleum Classic (II)
La Quinta	1984	Bernard Mitton Butch Walts	Scott Davis Ferdi Taygan	4–6, 6–4, 7–6	Congoleum Classic (II)
La Quinta	1985	Heinz Günthardt Balázs Taróczy	Ken Flach Robert Seguso	7–6, 7–5	Pilot Pen Classic
La Quinta	1986	Peter Fleming Guy Forget	Yannick Noah Sherwood Stewart	7–6, 6–2	Pilot Pen Classic
Indian Wells	1987	Guy Forget Yannick Noah	Boris Becker Eric Jelen	5–7, 7–6, 7–5	Pilot Pen Classic
Indian Wells	1988	Boris Becker Guy Forget	Jorge Lozano Todd Witsken	6–3, 6–3	Newsweek Champions Cup
Indian Wells	1989	Boris Becker Jakob Hlasek	Kevin Curren David Pate	3–6, 6–3, 6–4	Newsweek Champions Cup
Indian Wells	1990	Boris Becker Guy Forget	Jim Grabb Patrick McEnroe	6–4, 6–3	Newsweek Champions Cup
Indian Wells	1991	Jim Courier Javier Sánchez	Guy Forget Henri Leconte	7–6, 6–1	Newsweek Champions Cup
Indian Wells	1992	Steve DeVries David Macpherson	Kent Kinnear Sven Salumaa	6–3, 2–6, 6–4	Newsweek Champions Cup
Indian Wells	1993	Guy Forget Henri Leconte	Luke Jensen Scott Melville	4–6, 6–2, 7–6	Newsweek Champions Cup
Indian Wells	1994	Grant Connell Patrick Galbraith	Byron Black Jonathan Stark	3–6, 6–1, 7–6	Newsweek Champions Cup
Indian Wells	1995	Tommy Ho Brett Steven	Gary Muller Piet Norval	7–6, 6–7, 6–4	Newsweek Champions Cup
Indian Wells	1996	Todd Woodbridge Mark Woodforde	Brian MacPhie Michael Tebbutt	6–3, 6–4	Newsweek Champions Cup
Indian Wells	1997	Mark Knowles Daniel Nestor	Mark Philippoussis Patrick Rafter	7–5, 6–4	Newsweek Champions Cup
Indian Wells	1998	Jonas Björkman Patrick Rafter	Todd Martin Richey Reneberg	6–0, 6–3	Newsweek Champions Cup
Indian Wells	1999	Wayne Black Sandon Stolle	Ellis Ferreira Rick Leach	6–3, 6–4	Newsweek Champions Cup
Indian Wells	2000	Alex O'Brien Jared Palmer	Paul Haarhuis Sandon Stolle	6–4, 7–6 (7–5)	TMS Indian Wells
Indian Wells	2001	Wayne Ferreira Yevgeny Kafelnikov	Jonas Björkman Todd Woodbridge	6–2, 7–5	TMS Indian Wells
Indian Wells	2002	Mark Knowles Daniel Nestor	Roger Federer Max Mirnyi	6–4, 6–4	Pacific Life Open
Indian Wells	2003	Wayne Ferreira Yevgeny Kafelnikov	Bob Bryan Mike Bryan	3–6, 7–5, 6–4	Pacific Life Open
Indian Wells	2004	Arnaud Clément Sébastien Grosjean	Wayne Black Kevin Ullyett	6–3, 4–6, 7–5	Pacific Life Open
Indian Wells	2005	Mark Knowles Daniel Nestor	Wayne Arthurs Paul Hanley	7–6 (8–6) , 7–6 (7–2)	Pacific Life Open
Indian Wells	2006	Mark Knowles Daniel Nestor	Bob Bryan Mike Bryan	6–4, 6–4	Pacific Life Open
Indian Wells	2007	Martin Damm Leander Paes	Jonathan Erlich Andy Ram	6–4, 6–4	Pacific Life Open
Indian Wells	2008	Jonathan Erlich Andy Ram	Daniel Nestor Nenad Zimonjić	6–4, 6–4	Pacific Life Open
Indian Wells	2009	Mardy Fish Andy Roddick	Max Mirnyi Andy Ram	3–6, 6–1, 14–12	BNP Paribas Open
Indian Wells	2010	Marc López Rafael Nadal	Daniel Nestor Nenad Zimonjić	7–6 (10–8) , 6–3	BNP Paribas Open
Indian Wells	2011	Alexandr Dolgopolov Xavier Malisse	Roger Federer Stanislas Wawrinka	6–4, 6–7 (5–7) , [10–7]	BNP Paribas Open
Indian Wells	2012	Marc López Rafael Nadal	John Isner Sam Querrey	6–2, 7–6 (7–3)	BNP Paribas Open
Indian Wells	2013	Bob Bryan Mike Bryan	Treat Conrad Huey Jerzy Janowicz	6–3, 3–6, [10–6]	BNP Paribas Open
