Party	Results 2004	Ifop 11/12/08	Ifop 1/9/09	Ipsos 3/14/09	CSA 4/16/09	OpinionWay 4/17/09	Ifop 4/24/09	Ipsos 5/2/09	Ifop 5/11/09	OpinionWay 5/11/09
UMP - NC	16.64%	24%	26%	27%	27%	28%	26.5%	27%	27%	27%
PS	28.90%	22%	23%	24%	25%	23%	22.5%	23%	21.5%	22%
MoDem	11.96%	12%	14.5%	10%	12%	12%	14%	11%	13.5%	13%
FN	9.81%	7%	6%	5.5%	8%	6%	7.5%	5%	7.5%	7%
Others	6.74%	—	0.5%	0.5%	—	—	—	2%	2%	2%
Libertas	8.4%	7%	5%	6%	5%	5%	5%	6%	5%	5%
Europe Écologie	7.41%	11%	7%	9%	10%	10%	7.5%	10%	7%	9%
Left Front	5.88%	3%	4%	6%	3%	5%	5.5%	6%	6.5%	5%
NPA	2.56%	8%	9%	9%	7%	7%	7%	7%	7%	7%
LO	2.56%	4%	3%	2%	2%	—	2.5%	2%	2%	2%
DLR	0.00%	1%	2%	1%	1%	1%	1.5%	1%	1%	1%
