Draw	Language	Artist	English translation	Place	Points
01	Spanish	Serafín Zubiri	All this is music	14	37
02	French	Morgane	We want violins	20	11
03	Hebrew	Dafna Dekel	It's just sport	6	85
04	Turkish	Aylin Vatankoş	Summer is over	19	17
05	Greek	Cleopatra	The whole world's hope	5	94
06	French , Haitian Creole	Kali	Go up the river	8	73
07	Swedish	Christer Björkman	Tomorrow is another day	22	9
08	Portuguese	Dina	Fresh water love	17	26
09	Greek	Evridiki	We hit it off	11	57
10	English	Mary Spiteri	–	3	123
11	Icelandic	Heart 2 Heart	No or yes?	7	80
12	Finnish	Pave Maijanen	–	23	4
13	French	Daisy Auvray	–	15	32
14	Luxembourgish	Marion Welter & Kontinent	So free	21	10
15	German	Tony Wegas	Go together	10	63
16	English	Michael Ball	–	2	139
17	English	Linda Martin	–	1	155
18	Danish	Kenny Lübcke & Lotte Nilsson	All the things that nobody sees	12	47
19	Italian	Mia Martini	Rhapsody	4	111
20	Serbian	Extra Nena	I'm kissing you with songs	13	44
21	Norwegian	Merethe Trøan	Visions	18	23
22	German	Wind	Dreams are there for everyone	16	27
23	Dutch	Humphrey Campbell	Show me the way	9	67
