Date	Round	Circuit	Race 1 Winner	Race 2 Winner	Report
1 April	Great Britain	Donington	Doug Polen	Stéphane Mertens	Report
28 April	Spain	Jarama	Doug Polen	Doug Polen	Report
2 June	Canada	Mosport	Pascal Picotte	Tom Kipp	Report
9 June	United States	Brainerd	Doug Polen	Doug Polen	Report
30 June	Austria	Österreichring	Stéphane Mertens	Doug Polen	Report
4 August	San Marino	Misano	Doug Polen	Doug Polen	Report
11 August	Sweden	Anderstorp	Doug Polen	Doug Polen	Report
25 August	Japan	Sugo	Doug Polen	Doug Polen	Report
1 September	Malaysia	Shah Alam	Raymond Roche	Raymond Roche	Report
15 September	Germany	Hockenheim	Doug Polen	Raymond Roche	Report
29 September	France	Magny-Cours	Doug Polen	Doug Polen	Report
6 October	Italy	Mugello	Doug Polen	Raymond Roche	Report
19 October	Australia	Phillip Island	Kevin Magee	Doug Polen	Report
