Place	Player	Country	Score	To par	Money ( $ )
T1	Julius Boros	United States	71-74-76-72=293	+9	Playoff
T1	Jacky Cupit	United States	70-72-76-75=293	+9	Playoff
T1	Arnold Palmer	United States	73-69-77-74=293	+9	Playoff
4	Paul Harney	United States	78-70-73-73=294	+10	5,000
T5	Bruce Crampton	Australia	74-72-75-74=295	+11	3,166
T5	Tony Lema	United States	71-74-74-76=295	+11	3,166
T5	Billy Maxwell	United States	73-73-75-74=295	+11	3,166
T8	Walter Burkemo	United States	72-71-76-77=296	+12	1,875
T8	Gary Player	South Africa	74-75-75-72=296	+12	1,875
10	Dan Sikes	United States	77-73-73-74=297	+13	1,550
