Province	Contestant	Age	Height (in)	Height (mt)	Hometown
A Coruña	Estíbaliz Pereira	22	5'11"	1.81	Santiago de Compostela
Albacete	Natalia Cabello	18	5'7"	1.72	Hellín
Alicante	Verónica Rosillo	23	5'10"	1.80	Torrevieja
Almería	Noelia Manzanon	23	6'0"	1.82	El Ejido
Araba	María Ángeles Baceiredo	24	5'7"	1.74	Vitoria Gasteiz
Asturias	María Prado	22	5'7"	1.74	Oviedo
Ávila	Estefanía Ruiz	22	5'10"	1.78	San Cristóbal de La Laguna
Badajoz	Sheila Contreras	19	5'8"	1.75	Mérida
Barcelona	Lorena Pérez	20	5'10"	1.80	Barcelona
Bizkaia	Sheila Pérez	20	5'10"	1.79	Bilbao
Burgos	Natalia María Fariña	25	5'7"	1.72	Aranda de Duero
Cáceres	Raquel Lozano	26	5'10"	1.78	Trujillo
Cádiz	Desireé Panal	19	5'9"	1.76	Cádiz
Cantabria	Lucila Fernández	23	6'1"	1.85	Santander
Castellón	Jennifer Sánchez	23	5'10"	1.78	Castellón de la Plana
Ceuta	Cristina González	21	5'11"	1.81	Ceuta
Ciudad Real	Patricia Muñoz	27	5'10"	1.79	Puertollano
Córdoba	Ara Jurado	20	5'11"	1.81	Alto Guadalquivir
Cuenca	Noelia Ortiz	21	5'6"	1.70	Las Pedroñeras
Gipuzkoa	Ane Mendizabal	24	5'9"	1.77	San Sebastián
Girona	Irma Guerrero	20	5'7"	1.73	Figueres
Granada	Carmen García	21	5'10"	1.80	Almuñécar
Guadalajara	Mahima Sandoval	21	5'8"	1.75	Alhaurín el Grande
Huelva	Carmen González	20	5'8"	1.76	Huelva
Huesca	Rocío Salado	21	5'7"	1.72	Jaca
Islas Baleares	Melody Mir	18	5'9"	1.77	Palma de Mallorca
Jaén	Alejandra Echevarría	19	5'10"	1.80	Andujar
La Rioja	Irama Rodríguez Sahagún	18	5'7"	1.72	Logroño
Las Palmas	Ana Isabel Miranda	17	5'10"	1.79	Puerto del Rosario
León	Noelia Figueiras	22	5'8"	1.76	León
Lleida	Marte Eres Badia	26	5'10"	1.80	Balaguer
Lugo	Cristina Rivas	18	5'8"	1.75	Lugo
Madrid	Inés Fernández	21	5'8"	1.75	Madrid
Málaga	Melania Santiago	21	5'7"	1.74	Málaga
Melilla	Jéssica Céspedes	18	5'6"	1.69	Melilla
Murcia	Tamara Vera	19	5'10"	1.78	Molina de Segura
Navarra	Ainara Azcona	19	5'9"	1.77	Pamplona
Ourense	Irene López	27	5'6"	1.70	Verín
Palencia	Zaloa Ederne Jiménez	24	5'7"	1.72	Saldaña
Pontevedra	Isabel González	21	5'7"	1.71	Vigo
Salamanca	Arantxa Neira	18	5'9"	1.77	Salamanca
Segovia	María Bastarreche	20	5'7"	1.72	Segovia
Sevilla	Fátima Jiménez	18	5'7"	1.74	Sevilla
Soria	Bárbara Caballero	18	5'5"	1.68	Ólvega
Tarragona	Elisabeth Berral Merlo	24	5'10"	1.80	Cambrils
Tenerife	Sara Elena Pérez Padrón	22	5'8"	1.76	Los Realejos
Teruel	Estefanía de Francisco	23	5'9"	1.77	Utrillas
Toledo	Sherezade Jiménez	18	5'8"	1.75	Talavera
Valencia	Tharna Tirado	20	5'10"	1.78	Valencia
Valladolid	Marina Martínez	20	5'10"	1.80	Valladolid
Zamora	Patricia Núñez	21	5'10"	1.80	Zamora
