Round	Pick #	Player	Position	College
1	12	Tony Hunter	Tight End	Notre Dame
1	14	Jim Kelly	Quarterback	Miami (FL)
2	39	Darryl Talley	Linebacker	West Virginia
4	93	Trey Junkin	Linebacker	Louisiana Tech
4	112	Jimmy Payne	Defensive end	Georgia
5	126	Matt Vandenboom	Defensive back	Wisconsin
7	180	Gurnest Brown	Defensive tackle	Maryland
8	207	James Durham	Defensive back	Houston
9	234	George Parker	Running back	Norfolk State
10	260	Richard Tharpe	Defensive tackle	Louisville
11	293	Larry White	Defensive end	Jackson State
12	320	Julius Dawkins	Wide receiver	Pittsburgh
