Rank	Rider	Team	Speed	Time
1	Andrew Brady	750cc Suzuki	109.107mph	1:22.59.61
2	Russell Mountford	599cc Yamaha	107.888mph	1:20.22.88
3	Justin Croft	600cc Yamaha	107.678mph	1:24.05.72
4	Noel Patterson	750cc Suzuki	107.256mph	1:24.25.55
5	Paul Gartland	750cc Suzuki	104.660mph	1:26.31.20
6	Sergio Romero	599cc Honda	103.727mph	1:27.17.88
7	Ian Gilder	750cc Suzuki	103.637mph	1:27.22.47
8	Michael Russell	600cc Suzuki	103.455mph	1:27.31.69
9	James McCann	750cc Suzuki	103.346mph	1:27.37.22
10	Adrian Louge	749cc Suzuki	102.962mph	1:27.56.85
