Country	Abbreviation	Assets US$Billion	Inception	Origin
Norway	GPF	785.2	1990	Oil
Saudi Arabia	SAMA	675.9	n/a	Oil
United Arab Emirates Abu Dhabi	ADIA	627	1976	Oil
China	CIC	575.2	2007	Non-commodity
China	SAFE	567.9**	1997	Non-commodity
Kuwait	KIA	386	1953	Oil
Hong Kong	HKMA	326.7	1993	Non-commodity
Singapore	GIC	285	1981	Non-commodity
Singapore	TH	173.3	1974	Non-commodity
China	NSSF	160.6	2000	Non-commodity
Qatar	QIA	115	2003	Oil
Australia	AFF	88.7	2004	Non-commodity
Russia	RNWF	88	2008	Oil
Russia	RRF	86.4	2008	Oil
Kazakhstan	S-K JSC	77.5	2008	Non-commodity
Algeria	RRF	77.2	2000	Oil
United Arab Emirates Dubai	ICD	70	2006	Oil
Kazakhstan	KNF	68.9	2000	Oil
United Arab Emirates Abu Dhabi	IPIC	65.3	1984	Oil
Libya	LIA	65	2006	Oil
South Korea	KIC	56.6	2005	Non-commodity
United Arab Emirates Abu Dhabi	MDC	55.5	2002	Oil
Iran	NDF	54	1999	Oil
United States of America Alaska	APF	46.8	1976	Oil
Brunei	BIA	40	1983	Oil
Malaysia	KN	39.1	1993	Non-commodity
Azerbaijan	SOFAZ	34.1	1999	Oil
France	SIF	25.5	2008	Non-commodity
United States of America Texas	PSF	25.5	1854	Public Lands
Kazakhstan	NIC	20	2012	Oil
Ireland	NPRF	19.4	2001	Non-commodity
Iraq	DFI	18	2003	Oil
New Zealand	NZSF	17.8	2003	Non-commodity
United States of America New Mexico	NMSIOT	17.3	1958	Non-commodity
Canada Alberta	AHSTF	16.4	1976	Oil
Chile	SESF	15.2	2007	Copper
United States of America Texas	PUF	14.4	1876	Public Lands
Timor Leste	TLPF	13.6	2005	Oil & Gas
Russia	RDIF	13	2011	Non-commodity
Oman	SGRF	8.2	1980	Oil & Gas
Bahrain	MHC	7.1	2006	Oil
Peru	FSF	7.1	1999	Non-commodity
Chile	PRF	7	2006	Copper
Botswana	PF	6.9	1996	Diamonds & Minerals
Mexico	ORSFM	6	2000	Oil
Oman	OIF	6	2006	Oil
United States of America Wyoming	PWMTF	5.6	1974	Minerals
Brazil	SFB	5.3	2008	Non-commodity
Saudi Arabia	PIF	5.3	2008	Oil
China	CADF	5	2007	Non-commodity
Angola	FSDEA	5	2012	Oil
Trinidad & Tobago	HSF	5	2000	Oil
United States of America Alabama	ATF	2.5	1985	Oil & Gas
Italy	ISF	1.4	2011	Non-commodity
United States of America North Dakota	NDLF	1.3	2011	Oil & Gas
United Arab Emirates Ra's al Khaymah	RIA	1.2	2005	Credits obtained via RAK Government
United States of America Louisiana	LEQTF	1.1	1986	Oil & Gas
Nigeria	NSIA	1	2011	Oil
Palestine	PIF	0.8	2003	Non-commodity
Venezuela	FEM	0.8	1998	Oil
Kiribati	RERF	0.6	1956	Phosphates
Vietnam	SCIC	0.5	2006	Non-commodity
Gabon	GSWF	0.4	1998	Oil
Indonesia	GIU	0.3	2006	Non-commodity
Mauritania	NFHR	0.3	2006	Oil & Gas
Australia	WAFF	0.3	2012	Minerals
Panama	FAP	0.3	2012	Non-commodity
Mongolia	FSF	0.3	2011	Mining
Equatorial Guinea	FFG	0.08	2002	Oil
Ghana	GPF	0.07	2011	Oil
United Arab Emirates (Federal)	EIA	X	2007	Oil
United Arab Emirates Abu Dhabi	ADIC	X	2007	Oil
Papua New Guinea	PNGSWF	X	2011	Gas
