Week	Date	Opponent	Result	Venue	Attendance
1	September 12, 1976	San Francisco 49ers	L 26–14	Lambeau Field	54,628
2	September 19, 1976	at St. Louis Cardinals	L 29–0	Busch Memorial Stadium	48,842
3	September 26, 1976	at Cincinnati Bengals	L 28–7	Riverfront Stadium	44,103
4	October 3, 1976	Detroit Lions	W 24-14	Lambeau Field	55,041
5	October 10, 1976	Seattle Seahawks	W 27–20	Milwaukee County Stadium	54,983
6	October 17, 1976	Philadelphia Eagles	W 28–13	Lambeau Field	55,398
7	October 24, 1976	at Oakland Raiders	L 18–14	Oakland-Alameda County Coliseum	52,232
8	October 31, 1976	at Detroit Lions	L 27–6	Pontiac Silverdome	74,992
9	November 7, 1976	New Orleans Saints	W 32–27	Milwaukee County Stadium	52,936
10	November 14, 1976	at Chicago Bears	L 24–13	Soldier Field	52,907
11	November 21, 1976	Minnesota Vikings	L 17–10	Milwaukee County Stadium	53,104
12	November 28, 1976	Chicago Bears	L 16–10	Lambeau Field	56,267
13	December 5, 1976	at Minnesota Vikings	L 20–9	Metropolitan Stadium	43,700
14	December 12, 1976	at Atlanta Falcons	W 24–20	Atlanta-Fulton County Stadium	23,436
