Date	Opponent	Venue	Result	Attendance
10 August 1991	Celtic	H	3–4	16,535
13 August 1991	St. Mirren	H	4–1	5,771
17 August 1991	St. Johnstone	A	1–1	7,700
24 August 1991	Hibernian	A	0–1	9,420
31 August 1991	Aberdeen	H	0–0	11,962
7 September 1991	Dunfermline	H	3–0	11,962
14 September 1991	Rangers	A	1–1	36,347
21 September 1991	Hearts	A	1–1	11,746
28 September 1991	Motherwell	H	2–2	6,844
5 October 1991	Falkirk	A	4–0	5,377
8 October 1991	Airdrieonians	H	0–0	5,763
12 October 1991	Celtic	A	1–4	28,745
19 October 1991	St. Johnstone	H	1–2	7,700
26 October 1991	Airdrieonians	A	3–1	3,500
29 October 1991	Rangers	H	3–2	14,397
2 November 1991	Aberdeen	A	1–0	13,728
6 November 1991	Dunfermline	A	1–0	3,528
9 November 1991	Hibernian	H	1–1	9,420
16 November 1991	Falkirk	H	2–1	7,290
23 November 1991	Hearts	H	0–1	12,796
30 November 1991	St. Mirren	A	1–1	3,500
3 December 1991	Motherwell	A	1–1	4,023
7 December 1991	Celtic	H	1–1	11,145
14 December 1991	Dunfermline	H	0–0	4,835
21 December 1991	Rangers	A	0–2	41,448
28 December 1991	Hibernian	A	2–3	7,704
1 January 1992	Aberdeen	H	4–0	7,608
4 January 1992	Falkirk	A	3–1	5,186
11 January 1992	Airdrieonians	H	2–1	6,056
18 January 1992	St. Mirren	H	1–3	4,933
1 February 1992	St. Johnstone	A	1–1	6,364
8 February 1992	Hearts	A	0–1	10,516
22 February 1992	Motherwell	H	2–2	4,746
29 February 1992	Falkirk	H	2–1	5,592
7 March 1992	Dunfermline	A	0–1	3,042
14 March 1992	Hibernian	H	1–0	5,588
17 March 1992	Airdrieonians	A	0–1	3,284
21 March 1992	Aberdeen	A	2–0	10,500
28 March 1992	Celtic	A	1–3	22,522
4 April 1992	St. Johnstone	H	2–1	5,553
11 April 1992	Rangers	H	1–2	11,391
18 April 1992	Hearts	H	2–0	6,711
25 April 1992	St. Mirren	A	1–0	1,871
2 May 1992	Motherwell	A	2–1	3,151
