!Aces	Player	Opponent	Round	Year	Event	Surface	Sets
1.	113	W	Nicolas Mahut	1R	2010	Wimbledon	Grass
2.	103	L	John Isner	1R	2010	Wimbledon	Grass
3.	78	L	Radek Štěpánek	SF	2009	Davis Cup	Clay
4.	55	L	Lleyton Hewitt	1R	2009	Roland Garros	Clay
5.	51	L	Andre Agassi	4R	2005	Australian Open	Hard
5.	51	L	Daniele Bracciali	1R	2005	Wimbledon	Grass
7.	50	W	Andy Roddick	F	2009	Wimbledon	Grass
8.	49	L	Yevgeny Kafelnikov	QF	1999	US Open	Hard
9.	48	L	Arnaud Clément	QF	2001	Davis Cup	Carpet
9.	48	L	Ivan Dodig	1R	2011	Australian Open	Hard
9.	48	W	Olivier Rochus	1R	2012	Wimbledon	Grass
