Rank	Name	Height ft / m	Floors	Year
1	Xerox Tower	443 / 135	30	1968
2	Bausch & Lomb Place	401 / 122	20	1995
3	Chase Tower	392 / 119	27	1973
4	Kodak Tower	360 / 110	19	1914
5	First Federal Plaza	309 / 94	21	1976
6	One HSBC Plaza	284 / 87	21	1970
7	Hyatt Regency Hotel	271 / 83	25	1990
8	Times Square Building	260 / 79	14	1930
9	Midtown Tower	251 / 77	18	1962
10	Saint Michael's Church	246 / 75	1	1890
11	Temple Building	218 / 66	14	1925
12	Crossroads Building	215 / 66	15	1969
13	Eastman School of Music Student Living Center	213 / 65	14	1990
14	Seneca Towers Apartments	212 / 65	22	1968
15	Sibley Center	203 / 62	12	1926
16	Clinton Square Building	200 / 61	14	1990
