Place	Athlete	Points	Score	500 m	1500 m	5000 m	10000 m
1	Clas Thunberg ( FIN )	5.5	198.023	1.5	1	1	2
2	Roald Larsen ( NOR )	9.5	199.763	1.5	2	3	3
3	Julius Skutnabb ( FIN )	11	202.347	4	4	2	1
4	Harald Strøm ( NOR )	17	203.657	3	5	5	4
5	Sigurd Moen ( NOR )	17	203.783	5	3	4	5
6	Léonhard Quaglia ( FRA )	25	210.843	6	7	6	6
7	Alberts Rumba ( LAT )	27	212.637	7	6	7	7
8	Leon Jucewicz ( POL )	32	226.400	8	8	8	8
9	André Gegout ( FRA )	36	236.023	9	9	9	9
–	Asser Wallenius ( FIN )	DNF	did not finish 1500 m	did not finish 1500 m	did not finish 1500 m	did not finish 1500 m	did not finish 1500 m
–	George de Wilde ( FRA )	DNF	did not finish 10000 m	did not finish 10000 m	did not finish 10000 m	did not finish 10000 m	did not finish 10000 m
