Player	Nation	TeBe career	League matches	League goals	Cup matches	Cup goals
Sven Aagaard Category:Articles with hCards	Germany	2012–present	32	1	0	0
Duško Adamović Category:Articles with hCards	Serbia and Montenegro	1999–2001	9	0	0	0
Jeton Ademi Category:Articles with hCards	Albania	2010–2011	20	3	0	0
Reinhard Adler Category:Articles with hCards	West Germany	1973–1975	10	0	1	1
Thomas Adler Category:Articles with hCards	Germany	1994–1998	118	45	3	1
Kwaku Afriyie Category:Articles with hCards	Ghana	2010	2	0	0	0
Gökhan Ahmetçik Category:Articles with hCards	Greece	2008–2010	55	2	2	0
Fikret Akbulut Category:Articles with hCards	Turkey	2010	4	0	0	0
Cenk Akgün Category:Articles with hCards	Turkey	2012–present	19	6	0	0
Bruno Akrapović Category:Articles with hCards	Bosnia and Herzegovina	1997–2000	84	3	6	0
Taşkın Aksoy Category:Articles with hCards	Turkey	1993–1997, 1999–2002	158	16	5	1
Emre Anuk Category:Articles with hCards	Germany	2009–2010	26	2	0	0
Ilija Aračić Category:Articles with hCards	Croatia	1997–1998	49	24	4	3
Fred Arbinger Category:Articles with hCards	West Germany	1978–1979	51	5	5	0
Toralf Arndt Category:Articles with hCards	Germany	1993	15	1	0	0
Revaz Arveladze Category:Articles with hCards	Georgia	1995	4	0	0	0
Horst Assmy Category:Articles with hCards	East Germany	1960–1961	15	5	0	0
Julian Austermann Category:Articles with hCards	Germany	2009–2010	25	0	1	0
Ali Avcioğlu Category:Articles with hCards	Germany	2007–2008	8	0	0	0
Mehmet Aydın Category:Articles with hCards	Turkey	2007–2008	21	0	0	0
Deniz Aydoğdu Category:Articles with hCards	Turkey	2009	10	3	0	0
Hans-Jürgen Baake Category:Articles with hCards	West Germany	1976–1978	57	3	4	1
Olaf Backasch Category:Articles with hCards	Germany	1993–1994	16	2	0	0
Alpha-Oumar Bah Category:Articles with hCards	Germany	2010	1	0	0	0
Jerome Bah Category:Articles with hCards	Germany	2010	3	0	0	0
André Bandit Category:Articles with hCards	Germany	2003–2004	15	1	0	0
Stefan Bär Category:Articles with hCards	Germany	2004	2	0	0	0
Patrick Bastian Category:Articles with hCards	Germany	2006	1	0	0	0
Erdal Baştürk Category:Articles with hCards	Turkey	2009	4	0	0	0
Uli Bayerschmidt Category:Articles with hCards	Germany	1994–1996	37	2	0	0
Marcojan Behnert Category:Articles with hCards	Germany	2011	7	1	0	0
Florian Beil Category:Articles with hCards	Germany	2009–2010	31	6	1	0
Marcello Bellomo Category:Articles with hCards	Germany	2000	4	0	0	0
Felix Below Category:Articles with hCards	Germany	2005–2010	105	10	4	0
Marcus Benad Category:Articles with hCards	Germany	2003, 2011–2012	37	2	0	0
Aymen Ben-Hatira Category:Articles with hCards	Germany	2008–2009	30	16	1	0
Roland Benschneider Category:Articles with hCards	Germany	2000–2001	9	1	0	0
Manuel Benthin Category:Articles with hCards	Germany	2000	4	0	0	0
Besart Berisha Category:Articles with hCards	Albania	2003–2004	4	1	0	0
Winfried Berkemeier Category:Articles with hCards	West Germany	1975–1978	104	16	7	1
Uwe Bialon Category:Articles with hCards	West Germany	1985–1986	33	6	1	0
Andreas Biermann Category:Articles with hCards	Germany	2007	7	1	0	0
Shergo Biran Category:Articles with hCards	Germany	2002–2003	31	24	1	0
Hubert Birkenmeier Category:Articles with hCards	West Germany	1972–1977	85	0	9	0
Serkan Birtane Category:Articles with hCards	Turkey	2008–2009	5	0	0	0
Albert Bittlmayer Category:Articles with hCards	West Germany	1974–1976	49	16	6	2
Guido Block Category:Articles with hCards	Germany	1997–1998	19	1	1	0
Tonči Boban Category:Articles with hCards	Croatia	1999–2000	4	0	0	0
Thorsten Boer Category:Articles with hCards	Germany	1993	13	0	3	1
Thaddäus Bohne Category:Articles with hCards	Germany	2000	2	0	0	0
İbrahim Bolu Category:Articles with hCards	Turkey	2004–2006	8	0	0	0
Janek Bonasewicz Category:Articles with hCards	Germany	2011–2012, 2013–present	24	0	0	0
Daniel Bongartz Category:Articles with hCards	Germany	2012–present	45	3	0	0
Dirk Brändike Category:Articles with hCards	Germany	2003–2004	3	0	0	0
Timo Breitkopf Category:Articles with hCards	Germany	2009–2010	25	6	1	0
Ansgar Brinkmann Category:Articles with hCards	Germany	1999–2000	29	1	1	0
Detlef Bruckhoff Category:Articles with hCards	West Germany	1976–1978	18	0	1	0
Jürgen Bucher Category:Articles with hCards	West Germany	1980–1981	25	0	1	0
Fallou Seni Camara Category:Articles with hCards	Senegal	2007	8	0	0	0
Müslüm Can Category:Articles with hCards	Turkey	1997–1999, 2007–2008	65	1	5	0
İbrahim Çil Category:Articles with hCards	Turkey	2000–2002, 2003–2004, 2005	52	14	0	0
Saša Ćirić Category:Articles with hCards	Republic of Macedonia	1999–2000	32	14	2	2
Almedin Civa Category:Articles with hCards	Bosnia and Herzegovina	1993–1996	56	1	0	0
Aboubacar Condé Category:Articles with hCards	Germany	2007–2010	10	2	0	0
Francisco Copado Category:Articles with hCards	Spain	1997–2000	79	18	5	2
Junuz Ćoralić Category:Articles with hCards	Bosnia and Herzegovina	1997	1	0	0	0
Manuel Cornelius Category:Articles with hCards	Germany	2000–2001	17	2	1	1
Nico Creutzmann Category:Articles with hCards	Germany	2000	1	0	0	0
Birol Çubukçu Category:Articles with hCards	Turkey	2010–2011	25	0	0	0
Goran Ćurko Category:Articles with hCards	Serbia and Montenegro	1997–1999	67	0	4	0
Yasın Demir Category:Articles with hCards	Turkey	2010–2011	16	0	0	0
Hakan Demirel Category:Articles with hCards	Turkey	2010	13	0	0	0
Fahed Dermech Category:Articles with hCards	Tunisia	1997–1999	55	9	4	0
Manuel Diederichs Category:Articles with hCards	Germany	2000	1	0	0	0
Frank Dietrich Category:Articles with hCards	West Germany	1984–1986	50	44	1	0
Fatih Dilber Category:Articles with hCards	Turkey	2011–2012	16	2	0	0
Ricky Djan-Okai Category:Articles with hCards	Germany	2011	3	1	0	0
Sargon Duran Category:Articles with hCards	Austria	2009	17	2	1	0
Erol Duygun Category:Articles with hCards	Turkey	2005–2006	26	0	1	0
Jens Eckl Category:Articles with hCards	Germany	2005–2007	35	1	2	0
Peter Eggert Category:Articles with hCards	West Germany	1964–1977	57	3	8	1
Ebimobowei Empere Category:Articles with hCards	Nigeria	2000	13	4	1	0
Peter Endrulat Category:Articles with hCards	West Germany	1978–1981	60	0	1	0
Ümit Ergirdi Category:Articles with hCards	Turkey	2007–2008	22	5	0	0
Kaan Ergün Category:Articles with hCards	Turkey	2011	8	3	0	0
Ronny Ermel Category:Articles with hCards	Germany	2003–2005	61	3	0	0
Christian Fährmann Category:Articles with hCards	Germany	2003	13	3	0	0
Tim Felsenberg Category:Articles with hCards	Germany	2000–2002	15	1	2	0
Gino Ferrin Category:Articles with hCards	West Germany	1969–1975	6	0	1	0
Michael Fiedler Category:Articles with hCards	West Germany	1985–1986	28	4	1	0
Konstantin Filatow Category:Articles with hCards	Germany	2010–2011	29	0	0	0
Kerem-Mahir Filiz Category:Articles with hCards	Turkey	2011	5	0	0	0
Marco Fink Category:Articles with hCards	Germany	2011–2012	8	1	0	0
Julian Finke Category:Articles with hCards	Germany	2011	1	0	0	0
Egon Flad Category:Articles with hCards	Germany	1993–1994	23	1	2	0
Eleftherios Fotiadis Category:Articles with hCards	Greece	1985–1986	25	5	1	0
Jacek Frąckiewicz Category:Articles with hCards	Poland	1996–1997	31	5	1	0
Mike Frank Category:Articles with hCards	Germany	2000–2001	9	0	0	0
Peter Fraßmann Category:Articles with hCards	West Germany	1980–1986	79	12	2	0
Geir Frigård Category:Articles with hCards	Norway	1998–1999	14	5	0	0
Michael Fuß Category:Articles with hCards	Germany	2000–2001, 2004–2009	163	87	4	1
Stanko Galić Category:Articles with hCards	Croatia	2006–2008	30	4	0	0
Holger Gehrke Category:Articles with hCards	Germany	1994	8	0	0	0
Peter Geyer Category:Articles with hCards	West Germany	1974–1975	33	6	4	3
Heikko Glöde Category:Articles with hCards	West Germany	1980–1981	21	3	0	0
Lukas Goerigk Category:Articles with hCards	Germany	2011–2012	3	0	0	0
Bjarne Goldbæk Category:Articles with hCards	Denmark	1993–1994	24	5	3	0
Rudi Gores Category:Articles with hCards	West Germany	1985–1986	18	2	0	0
Roman Görtz Category:Articles with hCards	Germany	1999–2000	3	0	0	0
Daniel Gottlieb Category:Articles with hCards	Germany	2004–2006, 2007–2008	47	0	1	0
Brent Goulet Category:Articles with hCards	United States	1992–1994	43	21	2	1
Manuel Greil Category:Articles with hCards	Germany	2006–2008	35	1	0	0
Alexander Greinert Category:Articles with hCards	Germany	2011–present	58	8	0	0
Dirk Greiser Category:Articles with hCards	West Germany	1981–1986	23	0	0	0
Benjamin Griesert Category:Articles with hCards	Germany	2005–2007, 2008–2010	80	18	4	0
Volkmar Groß Category:Articles with hCards	West Germany	1976–1977	17	1	0	0
Thomas Grunenberg Category:Articles with hCards	West Germany	1979–1981	54	12	2	0
Cüneyt Gündoğdu Category:Articles with hCards	Turkey	2011	8	2	0	0
Serdar Güneş Category:Articles with hCards	Turkey	2010, 2011–2012	26	2	0	0
Tolgay Güneş Category:Articles with hCards	Turkey	2001	8	0	0	0
Tim Gutberlet Category:Articles with hCards	Germany	1995–1996	21	2	1	0
Gyula Hajszán Category:Articles with hCards	Hungary	1993	3	0	1	0
Matthias Hamann Category:Articles with hCards	Germany	1998–2000	57	2	5	0
Frank Hammerschlag Category:Articles with hCards	West Germany	1985–1986	22	4	0	0
Timo Hampf Category:Articles with hCards	Germany	2003–2010	114	0	2	0
Frank Hanisch Category:Articles with hCards	West Germany	1979–1981	45	1	1	0
Klaus-Peter Hanisch Category:Articles with hCards	West Germany	1976–1980	52	0	6	1
Dirk Hannemann Category:Articles with hCards	Germany	1996–1997	14	1	1	0
Allan Hansen Category:Articles with hCards	Denmark	1977–1979	54	12	5	0
Martin Hauswald Category:Articles with hCards	Germany	2000–2001	18	2	0	0
Tim Hebsacker Category:Articles with hCards	Germany	2011	11	0	0	0
Herbert Heidenreich Category:Articles with hCards	West Germany	1977–1978	23	4	0	0
Thomas Heinicke Category:Articles with hCards	Germany	2001	2	0	0	0
Manfred Hellmann Category:Articles with hCards	Germany	1990–1991	29	16	0	0
Benjamin Hendschke Category:Articles with hCards	Germany	2003–2004, 2011–present	88	27	0	0
Jens Henschel Category:Articles with hCards	Germany	1993	12	0	0	0
Michael Hertwig Category:Articles with hCards	West Germany	1985–1986	25	0	0	0
Dirk Heun Category:Articles with hCards	West Germany	1975–1977	25	1	3	0
Antoine Hey Category:Articles with hCards	Germany	1993–1994	27	7	3	0
Andreas Hilfiker Category:Articles with hCards	Switzerland	1999–2000	32	0	2	0
Gerald Hillringhaus Category:Articles with hCards	Germany	1993–1995	48	0	5	0
Andreas Hinze Category:Articles with hCards	West Germany	1980–1981	13	0	1	0
Dieter Hochheimer Category:Articles with hCards	West Germany	1976–1979	109	12	9	2
Stephan Hoffmann Category:Articles with hCards	West Germany	1973–1976	18	0	3	0
Christian Hübner Category:Articles with hCards	West Germany	1985	2	0	0	0
David Hussain Category:Articles with hCards	Germany	2003–2004	24	1	0	0
Sebastian Ilic Category:Articles with hCards	Germany	2008	13	2	1	0
Chikelue Iloenyosi Category:Articles with hCards	Nigeria	2000	1	1	0	0
Harun Isa Category:Articles with hCards	Albania	1995–1999	103	30	4	1
Marcel Isakowitz Category:Articles with hCards	Germany	2000–2001	2	0	0	0
Okan Işık Category:Articles with hCards	Turkey	2011–present	71	17	0	0
Younes Itri Category:Articles with hCards	Morocco	2013–present	14	0	0	0
Goya Jaekel Category:Articles with hCards	Germany	2000	12	2	0	0
Kim Jae-Sung Category:Articles with hCards	South Korea	2010–2011	16	4	0	0
Miroslav Jagatić Category:Articles with hCards	Croatia	2003	10	1	0	0
Ditmar Jakobs Category:Articles with hCards	West Germany	1974–1977	101	16	10	1
Alexander Jakowitz Category:Articles with hCards	Germany	2008–2010	41	0	2	0
Morten Jechow Category:Articles with hCards	Germany	2009–2010	17	0	0	0
Elvis Jelmazi Category:Articles with hCards	Bosnia and Herzegovina	2000	10	1	0	0
Mike Jesse Category:Articles with hCards	Germany	2000–2001	22	5	1	0
Thomas Joos Category:Articles with hCards	Germany	2000–2001	4	0	0	0
Ranisav Jovanović Category:Articles with hCards	Serbia and Montenegro	2001–2002	32	13	0	0
Markus Jurzik Category:Articles with hCards	Germany	2012–present	20	0	0	0
Robert Jüttner Category:Articles with hCards	West Germany	1985	10	0	1	0
Lee Ju-Wan Category:Articles with hCards	South Korea	2010	1	0	0	0
Kakhaber Kacharava Category:Articles with hCards	Georgia	1995–1996	19	7	0	0
Sascha Kadow Category:Articles with hCards	Germany	2006–2008	31	8	1	0
Fuat Kalkan Category:Articles with hCards	Turkey	2007–2010, 2010–2011	84	3	1	0
Burak Kalyoncu Category:Articles with hCards	Turkey	2008–2009	11	0	0	0
Olaf Kapagiannidis Category:Articles with hCards	Germany	1993–2000	63	2	7	0
Kadir Kaplı Category:Articles with hCards	Turkey	2010	6	0	0	0
Cihan Karadağ Category:Articles with hCards	Turkey	2007	3	0	0	0
Firat Karaduman Category:Articles with hCards	Turkey	2008–2009	24	7	1	0
Momir Karadžić Category:Articles with hCards	Yugoslavia	1979–1981	53	4	1	0
Heinz-Josef Kehr Category:Articles with hCards	West Germany	1977–1978	32	18	2	0
Andreas Keim Category:Articles with hCards	Germany	1993–1994	28	2	4	1
Enrico Kern Category:Articles with hCards	Germany	1998–2000	11	0	1	0
Florian Kersten Category:Articles with hCards	Germany	2004	2	0	0	0
Moritz Kessler Category:Articles with hCards	Germany	2004, 2008	17	0	0	0
Mike Keyser Category:Articles with hCards	Germany	2007–2008	9	0	0	0
Sergei Kiriakov Category:Articles with hCards	Russia	1999–2000	28	3	2	0
Tom Kirstein Category:Articles with hCards	Germany	2010–2012, 2013–present	73	17	0	0
Harry Kleinfeld Category:Articles with hCards	West Germany	1981	4	0	0	0
Andrzej Kobylański Category:Articles with hCards	Poland	1993–1994	10	0	2	0
Harun Koca Category:Articles with hCards	Turkey	2011–present	34	2	0	0
Celaleddin Koçak Category:Articles with hCards	Turkey	1997–1999	51	1	4	0
Sebastian Kolch Category:Articles with hCards	Germany	2003	2	0	0	0
Christian Kollmorgen Category:Articles with hCards	Germany	2005–2006	24	1	2	0
Sercan Konal Category:Articles with hCards	Germany	2007	6	0	0	0
Sascha Köttig Category:Articles with hCards	Germany	2004–2006	53	2	1	0
Kreso Kovacec Category:Articles with hCards	Germany	1997–1999	37	19	4	5
Ivan Kozák Category:Articles with hCards	Slovakia	1999–2001	67	0	3	0
Davor Kraljević Category:Articles with hCards	Croatia	2000–2001	9	0	0	0
Frank Kramer Category:Articles with hCards	West Germany	1980	5	0	0	0
Hans-Georg Kraus Category:Articles with hCards	West Germany	1974–1978	80	1	5	1
Willi Kronhardt Category:Articles with hCards	Germany	2000–2001	19	1	1	0
Emmanuel Krontiris Category:Articles with hCards	Germany	2000	6	1	1	0
Manfred Krüger Category:Articles with hCards	West Germany	1978–1980	10	0	0	0
Gino Krumnow Category:Articles with hCards	Germany	2012	28	2	0	0
Thomas Kruschke Category:Articles with hCards	Germany	2011	8	1	0	0
Davor Krznarić Category:Articles with hCards	Croatia	1994, 2002	1	1	1	0
Danny Kukulies Category:Articles with hCards	Germany	2008	13	4	0	0
Michael Kullat Category:Articles with hCards	Germany	2003	21	1	0	0
Fabian Künnemann Category:Articles with hCards	Germany	2012	2	0	0	0
Tobias Kurbjuweit Category:Articles with hCards	Germany	2007	13	2	0	0
Michael Laletin Category:Articles with hCards	Germany	2009–2010	32	0	0	0
Christian Landu-Tubi Category:Articles with hCards	Democratic Republic of the Congo	2009	16	2	1	0
Martin Lange Category:Articles with hCards	Germany	2009–2010	17	1	0	0
Mirko Langen Category:Articles with hCards	Germany	2009–2010	13	0	0	0
Saša Lazarevski Category:Articles with hCards	Republic of Macedonia	2000–2001	4	0	0	0
Nico Lazaridis Category:Articles with hCards	West Germany	1979–1980	3	0	0	0
Uwe Lehmann Category:Articles with hCards	Germany	2000	1	0	0	0
Norbert Lemcke Category:Articles with hCards	Germany	2005–2007	37	9	0	0
Tim Lensinger Category:Articles with hCards	Germany	2009–2010	13	0	0	0
Jörn Lenz Category:Articles with hCards	Germany	1992–1997	135	10	3	0
Stanislav Levý Category:Articles with hCards	Czech Republic	1993–1994	20	3	1	0
Robert Lorenz Category:Articles with hCards	Germany	2012	1	0	0	0
Mike Lünsmann Category:Articles with hCards	Germany	1998–2000	34	6	0	0
Jérôme Maaß Category:Articles with hCards	Germany	2008	6	0	0	0
Maher Magri Category:Articles with hCards	Tunisia	2010–2011	9	0	0	0
Stefan Malchow Category:Articles with hCards	Germany	2000–2001	9	0	1	0
Edmund Malura Category:Articles with hCards	West Germany	1980–1981	38	6	1	0
Osama Mansour Category:Articles with hCards	Tunisia	2005–2006	27	0	1	0
Jens Manteufel Category:Articles with hCards	Germany	2001–2005	48	8	0	0
Damir Maričić Category:Articles with hCards	Yugoslavia	1985–1986	26	5	1	0
Goran Markov Category:Articles with hCards	Republic of Macedonia	1997–1998	12	1	0	0
Jens Melzig Category:Articles with hCards	Germany	1997–2000	68	7	3	0
Cemil Mengi Category:Articles with hCards	Turkey	2010	8	2	0	0
Burak Menteş Category:Articles with hCards	Turkey	2011	6	0	0	0
Sven Meyer Category:Articles with hCards	Germany	2002–2004	64	6	0	0
Toni Mičevski Category:Articles with hCards	Republic of Macedonia	1998–1999	19	4	1	0
Mario Miethig Category:Articles with hCards	West Germany	1985–1986	7	0	0	0
Frank Mischke Category:Articles with hCards	West Germany	1981	15	0	0	0
Željko Mišić Category:Articles with hCards	Yugoslavia	1986	6	0	0	0
Amir Mohra Category:Articles with hCards	Germany	2007–2008	24	1	0	0
Ali Moustapha Category:Articles with hCards	Niger	2004	8	0	0	0
Robert Mrohs Category:Articles with hCards	Germany	2003–2004	22	0	0	0
Wolfgang Mulack Category:Articles with hCards	West Germany	1973–1975	22	0	2	0
Anton Müller Category:Articles with hCards	Germany	2002–2003	24	0	0	0
Christian Müller Category:Articles with hCards	West Germany	1980–1981	5	0	0	0
Felix Müller Category:Articles with hCards	Germany	2001	1	0	0	0
Dirk Muschiol Category:Articles with hCards	Germany	1993–1994	27	2	4	0
Jan Mutschler Category:Articles with hCards	Germany	2000	1	0	0	0
Faruk Namdar Category:Articles with hCards	Turkey	1997–1999	37	11	2	0
Luc Ndjock Category:Articles with hCards	Cameroon	2003–2004	9	1	0	0
Zhaneto Ndoja Category:Articles with hCards	Albania	2007	1	0	0	0
Papi Ndombele Category:Articles with hCards	Republic of the Congo	2011–2012	13	1	0	0
Ralf Nettelbeck Category:Articles with hCards	West Germany	1980	1	0	0	0
Martin Neubert Category:Articles with hCards	Germany	2008–2010	60	2	2	0
Momar Njie Category:Articles with hCards	Gambia	2000–2001	7	0	0	0
Yann Nkanga Category:Articles with hCards	France	2011	10	0	0	0
Nils Noltemeier Category:Articles with hCards	Germany	2000	4	0	0	0
Werner Novak Category:Articles with hCards	West Germany	1974–1976	10	0	1	0
