Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	18	32:05.318	1
James Toseland	Honda CBR1000RR	18	+2.691	5
Troy Bayliss	Ducati 999 F07	18	+2.841	2
Roberto Rolfo	Honda CBR1000RR	18	+3.188	10
Max Biaggi	Suzuki GSX-R1000 K7	18	+3.551	3
Troy Corser	Yamaha YZF-R1	18	+13.034	4
Yukio Kagayama	Suzuki GSX-R1000 K7	18	+17.246	8
Régis Laconi	Kawasaki ZX-10R	18	+18.410	7
Karl Muggeridge	Honda CBR1000RR	18	+29.017	6
Jakub Smrž	Ducati 999 F05	18	+29.686	17
Michel Fabrizio	Honda CBR1000RR	18	+30.371	9
Max Neukirchner	Suzuki GSX-R1000 K6	18	+31.982	14
Ruben Xaus	Ducati 999 F06	18	+32.165	15
Robertino Pietri	Yamaha YZF-R1	18	+1:32.292	23
Dean Ellison	Ducati 999RS	18	+1:41.840	21
Marco Borciani	Ducati 999 F06	15	Retirement	16
Steve Martin	Honda CBR1000RR	11	Retirement	18
Josh Brookes	Honda CBR1000RR	9	Retirement	11
Mauro Sanchini	Kawasaki ZX-10R	7	Retirement	19
Alex Polita	Suzuki GSX-R1000 K6	5	Retirement	20
Marek Svoboda	Yamaha YZF-R1	1	Retirement	24
Fonsi Nieto	Kawasaki ZX-10R	1	Retirement	13
Lorenzo Lanzi	Ducati 999 F07	0	Retirement	12
