Place	Player	Country	Score	To par
1	Hale Irwin	United States	68-68-69=205	–5
2	Fuzzy Zoeller	United States	71-66-69=206	–4
3	Greg Norman	Australia	70-68-69=207	–3
4	Jim Thorpe	United States	68-71-70=209	–1
5	Tim Simpson	United States	72-71-68=211	+1
T6	Morris Hatalsky	United States	70-73-69=212	+2
T6	Johnny Miller	United States	74-68-70=212	+2
T6	Jack Nicklaus	United States	71-71-70=212	+2
T6	Lee Trevino	United States	71-72-69=212	+2
T10	David Graham	Australia	71-72-70=213	+3
T10	Curtis Strange	United States	69-66-77=213	+3
T10	Mike Sullivan	United States	70-73-70=213	+3
