2005/ 06	2006/ 07	2007/ 08	2009/ 10	2010/ 11	2011/ 12	2012/ 13
UR	UR	UR	71	UR He was an amateur.	UR	UR
Ranking Tournaments	Ranking Tournaments	Ranking Tournaments	Ranking Tournaments	Ranking Tournaments	Ranking Tournaments	Ranking Tournaments
Not Held	Not Held	Not Held	Non-Ranking	Non-Ranking	Non-Ranking	WR
Not Held	Not Held	Not Held	Not Held	Not Held	A	A
Not Held	Not Held	A	QR	WR	WR	A
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	A
A	A	A	LQ	A	A	A
Not Held	Not Held	Not Held	Not Held	A	A	A
Not Held	Not Held	Not Held	Not Held	A	A	1R
WR	1R	WR	LQ	2R	1R	A
Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments
A	A	A	A	A	A	A
Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments
NR	A	A	Not Held	Not Held	Not Held	Not Held
Former Non-ranking Tournaments	Former Non-ranking Tournaments	Former Non-ranking Tournaments	Former Non-ranking Tournaments	Former Non-ranking Tournaments	Former Non-ranking Tournaments	Former Non-ranking Tournaments
Not Held	Not Held	Not Held	RR	A	A	Ranking
