Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
Gary Barnett	MF	19 (3)	1	1	0	2	0	0 (1)	0	37 (5)	5
Dave Campbell	DF	1	0	0	0	0	0	0	0	1	0
Simon Charlton	DF	29 (1)	0	2	0	0	0	2	0	33 (1)	0
Kevin Donovan	MF	4 (2)	1	0	0	0	0	0	0	4 (2)	1
Keith Edwards	MF	10 (8)	4	1	0	1 (1)	0	0 (1)	0	12 (10)	4
Steve Hardwick	GK	42	0	1	0	2	0	2	0	47	0
Garry Haylock	FW	9 (3)	4	0	0	0	0	0	0	9 (3)	4
Simon Ireland	MF	3 (3)	0	0	0	0	0	0	0	3 (3)	0
Peter Jackson	DF	38	1	2	0	0	0	1	0	41	1
John Kelly	MF	3 (1)	0	0	0	0	0	0	0	3 (1)	0
Dudley Lewis	DF	4 (2)	0	0	0	2	0	1	0	7 (2)	0
Peter Maguire	FW	1 (3)	1	0	0	0	0	0	0	1 (3)	1
Chris Marsden	MF	43	5	2	0	2	0	2	0	49	5
Lee Martin	GK	4	0	1	0	0	0	0	0	5	0
Graham Mitchell	DF	46	0	2	0	2	0	2	0	52	0
Ken O'Doherty	DF	8	0	0	0	0	0	0	0	8	0
Iffy Onuora	FW	32 (11)	7	2	1	0 (1)	0	2	0	36 (12)	8
Kieran O'Regan	MF	46	11	2	0	2	1	2	2	52	14
Neil Parsley	DF	6 (2)	0	0	0	2	0	0	0	8 (2)	0
Phil Quinlan	MF	7 (1)	2	0	0	0	0	0	0	7 (1)	2
Iwan Roberts	FW	44	13	2	1	2	0	2	0	50	14
Mark Smith	Fw	29 (3)	2	1 (1)	0	2	0	2	0	34 (4)	2
Phil Stant	FW	5	1	0	0	0	0	0	0	5	1
Simon Trevitt	DF	38	0	1	0	2	0	2	0	43	0
Robert Wilson	MF	25 (4)	2	2	0	1	0	2	0	30 (4)	2
Mark Wright	DF	10	1	0	0	0	0	0	0	10	1
