Res.	Record	Opponent	Method	Round	Time	Location
Loss	18–11	Dennis Siver	Decision (unanimous)	3	5:00	Seattle, Washington , United States
Win	18–10	Cole Miller	Decision (split)	3	5:00	Los Angeles, California , United States
Loss	17–10	Jimy Hettes	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Win	17–9	Leonard Garcia	Decision (unanimous)	3	5:00	Houston, Texas , United States
Loss	16–9	Mike Brown	Decision (unanimous)	3	5:00	Philadelphia, Pennsylvania , United States
Loss	16–8	Leonard Garcia	Decision (split)	3	5:00	Las Vegas, Nevada , United States
Win	16–7	Rodney Rhoden	Submission (armbar)	1	3:20	Los Angeles, California , United States
Loss	15–7	Isaac DeJesus	TKO (punches)	1	2:55	Lemoore, California , United States
Loss	15–6	Michihiro Omigawa	TKO (punches)	1	4:52	Tokyo , Japan
Win	15–5	Hideki Kadowaki	TKO (punches)	1	3:09	Tokyo , Japan
Loss	14–5	Billy Evangelista	Decision (split)	3	5:00	San Jose, California , United States
Win	14–4	Saad Awad	TKO (punches)	2	0:52	Los Angeles, California , United States
Win	13–4	Shad Smith	TKO (punches)	1	1:11	Anaheim, California , United States
Loss	12–4	Gesias Cavalcante	TKO (punches)	1	0:26	Los Angeles, California , United States
Loss	12–3	Josh Thomson	Decision (unanimous)	3	5:00	San Jose, California , United States
Win	12–2	Aric Nelson	TKO (punches)	2	4:11	San Jacinto, California , United States
Win	11–2	Ryan Diaz	Decision (split)	2	5:00	San Jacinto, California , United States
Win	10–2	Albert Hill	Submission (armbar)	1	0:12	San Jacinto, California , United States
Win	9–2	Joe Frainee	Submission (armbar)	1	3:28	San Jacinto, California , United States
Win	8–2	Sost Infante	TKO (cut)	1	0:51	San Jacinto, California , United States
Win	7–2	Joey Alvarado	KO (punches)	1	1:08	San Jacinto, California , United States
Win	6–2	Mike Valdez	Submission (triangle choke)	1	0:41	Lemoore, California , United States
Loss	5–2	Nick Ertl	Decision (split)	3	5:00	Upland, California , United States
Win	5–1	Eben Kaneshiro	Decision (unanimous)	3	5:00	Upland, California , United States
Loss	4–1	Rob McCullough	Decision (unanimous)	2	5:00	California , United States
Win	4–0	Patrick Hoang	Decision (unanimous)	1	5:00	California , United States
Win	3–0	Brad Levy	Decision (split)	1	5:00	California , United States
Win	2–0	Brad McCall	Submission (guillotine choke)	2	0:42	Los Angeles, California , United States
Win	1–0	Jason Maxwell	TKO (punches)	2	N/A	Anza, California , United States
