Round	Pick #	Overall	Name	Position	College
1	2	2	Billy Vessels	Halfback	Oklahoma
2	1	14	Bernie Flowers	End	Purdue
3	1	26	Buck McPhail	Fullback	Oklahoma
4	1	38	Tom Catlin	Center	Oklahoma
5	1	50	Jack Little	Offensive Tackle	Texas A&M
6	1	62	Jim Sears	Quarterback	USC
7	1	74	Bill Athey	Guard	Baylor
8	1	86	Jim Prewett	Tackle	Tulsa
9	1	98	Bob Blair	Tight End	TCU
10	1	110	John Cole	Halfback	Arkansas
11	1	122	Gene Rossi	Halfback	Cincinnati
12	1	134	Kaye Vaughn	Guard	Tulsa
13	1	146	Bobby Moorhead	Halfback	Georgia Tech
14	1	158	Frank Continetti	Guard	George Washington
15	1	170	Buddy Sutton	Halfback	Arkansas
16	1	182	Jim Currin	End	Dayton
17	1	194	George Rambour	Tackle	Dartmouth
18	1	206	LeRoy Labat	Halfback	LSU
19	1	218	Bill Powell	Halfback	California
20	1	230	Pete Russo	Tackle	Indiana
21	1	242	Frank Kirby	Tackle	Bucknell
22	1	254	Merlin Gish	Center	Kansas
23	1	266	Mike Houseplan	Guard	Tulane
24	1	278	Monte Brethauer	Defensive Back	Oregon
25	1	290	Joe Szombathy	End	Syracuse
26	1	302	Scott Prescott	Center	Minnesota
27	1	314	Ray Graves	Halfback	Texas A&M
28	1	326	Joe Sabol	Halfback	UCLA
29	1	338	Jack Alessandrini	Guard	Notre Dame
30	1	350	Tom Roche	Tackle	Northwestern
