Place	Player	Country	Score	To par
T1	Ben Crenshaw	United States	67	–5
T1	John Daly	United States	67	–5
T1	Mark McNulty	Zimbabwe	67	–5
T1	Tom Watson	United States	67	–5
T5	David Feherty	Northern Ireland	68	–4
T5	Bill Glasson	United States	68	–4
T5	Mats Hallberg	Sweden	68	–4
T5	Vijay Singh	Fiji	68	–4
T9	Darren Clarke	Northern Ireland	69	–3
T9	John Cook	United States	69	–3
T9	Jim Gallagher, Jr.	United States	69	–3
T9	David Gilford	England	69	–3
T9	Per-Ulrik Johansson	Sweden	69	–3
T9	Steve Lowery	United States	69	–3
T9	Corey Pavin	United States	69	–3
T9	Costantino Rocca	Italy	69	–3
T9	Gene Sauers	United States	69	–3
