Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	22 March 2004	Portugal F2, Albufeira , Portugal	Hard	Leonardo Tavares	Juan Ignacio Cerda & Jasper Smit	6–4, 6–4
Winner	5 April 2004	Portugal F3, Lagos , Portugal	Hard	Bernardo Mota	Juan Ignacio Cerda & Jasper Smit	7–6 (7–1) , 6–1
Runner-up	5 July 2004	Romania F8, Galați , Romania	Clay	Felipe Lemos	Cătălin Gârd & Andrei Mlendea	6–2, 6–1
Runner-up	21 March 2005	Portugal F3, Lagos, Portugal	Hard	Leonardo Tavares	Richard Holstrom & Christian Johansson	Walkover
Runner-up	17 October 2005	Bogotá , Colombia	Clay	Marcelo Melo	Marcos Daniel & Santiago González	6–2, 7–5
Runner-up	6 March 2006	Nigeria F1, Benin City , Nigeria	Hard	Nicholas Monroe	Abdul-Mumin Babalola & Jonathan Igbinovia	6–3, 6–7 (4–7) , 6–3
Runner-up	3 April 2006	France F4, Lille , France	Hard (i)	Filip Urban	Stéphane Bohli & Artem Sitak	6–1, 6–2
Winner	10 April 2006	Portugal F3, Faro , Portugal	Hard	Gonçalo Nicau	Sebastian Fitz & Jasper Smit	6–2, 6–2
Runner-up	6 May 2006	Morocco F5, Rabat , Morocco	Clay	Walid Jallali	Enrico Burzi & Dušan Karol	3–6, 6–3, 6–2
Runner-up	19 June 2006	Milan , Italy	Clay	Joan Albert Viloca	Giorgio Galimberti & Harel Levy	6–3, 6–3
Runner-up	12 March 2007	Bogotá , Colombia	Clay	Dick Norman	Martín García & Diego Hartfield	6–4, 3–6, [10–5]
Runner-up	28 May 2007	Karlsruhe , Germany	Clay	Michael Berrer	Alex Kuznetsov & Mischa Zverev	6–4, 6–7 (6–7) , [10–4]
Runner-up	4 June 2007	Fürth , Germany	Clay	Fabio Fognini	Bruno Echagaray & André Ghem	7–6 (7–1) , 4–6, [13–11]
Runner-up	20 August 2007	Manerbio , Italy	Clay	Alberto Martín	Antal Van Der Duim & Boy Westerhof	7–6 (7–4) , 3–6, [10–8]
Runner-up	31 March 2008	Napoli , Italy	Clay	Luis Horna	Tomáš Cibulec & Jaroslav Levinský	6–1, 6–3
Winner	12 May 2008	Marrakech , Morocco	Clay	Florin Mergea	James Auckland & Franko Škugor	6–2, 6–3
Winner	6 July 2008	Turin , Italy	Clay	Carlos Berlocq	Tomáš Cibulec & Jaroslav Levinský	6–4, 6–3
Winner	15 August 2009	Istanbul , Turkey	Hard	Filip Prpic	Grigor Dimitrov & Marsel İlhan	3–6, 6–2, [10–6]
Winner	4 October 2009	Napoli , Italy	Clay	Ivan Dodig	Thiago Alves & Lukáš Rosol	6–1, 6–3
Winner	12 June 2010	Lugano , Switzerland	Clay	Christophe Rochus	Santiago González & Travis Rettenmaier	7–5, 7–6 (7–3)
Winner	4 July 2010	Turin, Italy (2)	Clay	Carlos Berlocq	Potito Starace & Daniele Bracciali	6–3, 7–6 (7–5)
Winner	30 October 2011	São José do Rio Preto , Brazil	Clay	Jaroslav Pospíšil	Franco Ferreiro & Rubén Ramírez Hidalgo	6–4, 6–4
Runner-up	5 November 2011	São Leopoldo , Brazil	Clay	Gastão Elias	Franco Ferreiro & Rubén Ramírez Hidalgo	6–7 (7–4) , 6–3, [11–9]
Runner-up	20 October 2012	Rio de Janeiro , Brazil	Clay	Pedro Sousa	Marcelo Demoliner & João Souza	6–2, 6–4
Winner	24 May 2013	Portugal F7, Coimbra , Portugal	Hard	Gonçalo Falcão	Carlos Boluda-Purkiss & Roberto Ortega-Olmedo	7-6 (7-4) , 7-6 (9-7)
