Driver	Constructor	Laps	Time/Retired	Grid
Giancarlo Fisichella	Jordan - Ford	54	1:31:18.2	8
Kimi Räikkönen	McLaren - Mercedes	54	+0.945	4
Fernando Alonso	Renault	54	+6.348/Accident	10
David Coulthard	McLaren - Mercedes	54	+8.096	2
Heinz-Harald Frentzen	Sauber - Petronas	54	+8.642	14
Jacques Villeneuve	BAR - Honda	54	+16.054	13
Ralf Schumacher	Williams - BMW	54	+38.526	6
Jarno Trulli	Renault	54	+45.927	5
Mark Webber	Jaguar - Cosworth	53	+1 Lap/Accident	3
Cristiano da Matta	Toyota	53	+1 Lap	18
Rubens Barrichello	Ferrari	47	Fuel system	1
Jenson Button	BAR - Honda	33	Accident	11
Jos Verstappen	Minardi - Cosworth	31	Spin	19
Michael Schumacher	Ferrari	27	Accident	7
Juan Pablo Montoya	Williams - BMW	25	Accident	9
Antônio Pizzonia	Jaguar - Cosworth	25	Accident	17
Olivier Panis	Toyota	18	Collision	15
Ralph Firman	Jordan - Ford	18	Suspension	16
Justin Wilson	Minardi - Cosworth	16	Spin	20
Nick Heidfeld	Sauber - Petronas	8	Engine	12
