Place	Player	Country	Score	To par	Money ( $ )
1	Trevor Immelman	South Africa	68-68-69-75=280	–8	1,350,000
2	Tiger Woods	United States	72-71-68-72=283	–5	810,000
T3	Stewart Cink	United States	72-69-71-72=284	–4	435,000
T3	Brandt Snedeker	United States	69-68-70-77=284	–4	435,000
T5	Steve Flesch	United States	72-67-69-78=286	–2	273,750
T5	Pádraig Harrington	Ireland	74-71-69-72=286	–2	273,750
T5	Phil Mickelson	United States	71-68-75-72=286	–2	273,750
T8	Miguel Ángel Jiménez	Spain	77-70-72-68=287	–1	217,500
T8	Robert Karlsson	Sweden	70-73-71-73=287	–1	217,500
T8	Andrés Romero	Argentina	72-72-70-73=287	–1	217,500
