Round	Date	Place	Finished	Total Points	Standing
1	January 8	Anaheim	2nd	22	2nd
2	January 15	Phoenix	5th	38	4th
3	January 22	Dodger Stadium	3rd	58	5th
4	January 29	Oakland	3rd	78	3rd
5	February 5	Anaheim II	20th	79	5th
6	February 12	Houston	2nd	101	5th
7	February 19	San Diego	2nd	123	5th
8	February 26	Atlanta	2nd	145	5th
9	March 5	Daytona	3rd	165	4th
10	March 12	Indianapolis	4th	183	4th
11	March 19	Jacksonville	3rd	203	3rd
12	March 26	Toronto	1st	228	3rd
13	April 2	Arlington	3rd	248	3rd
14	April 9	St Louis	2nd	270	2nd
15	April 16	Seattle	5th	286	3rd
16	April 30	Salt Lake City	3rd	306	3rd
17	May 7	Las Vegas	2nd	328	2nd
